"id","name","popularity","duration_ms","artists","id_artists","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","release_year","release_month","release_day"
8983,"She Don't Know Me",46,242400,"['Bon Jovi']","['58lV9VcRSjABbAbfWS6skp']",0.556,0.971,3,-3.937,0.0778,0.000376,2.46e-05,0.223,0.368,127.901,"1984","01","01"
13362,"Te Conozco Desde Siempre",32,242667,"['José Luis Rodríguez']","['15YnmlNukYCFvwaFnoDwwV']",0.594,0.725,4,-5.476,0.065,0.39,0,0.0521,0.536,147.26,"1982",NA,NA
16587,"明日世界終結時",30,274560,"['Jacky Cheung']","['1Hu58yHg2CXNfDhlPd7Tdd']",0.714,0.31,6,-15.161,0.028,0.703,0,0.0947,0.318,112.525,"1992","01","01"
5912,"Down Down",37,261133,"['Bachman-Turner Overdrive']","['5q4AzEtCoYJyXjMMoEkSU5']",0.592,0.456,7,-13.84,0.0446,0.136,0.00161,0.181,0.745,129.332,"1977","02","01"
29312,"I Put My Eyes Upon You",4,176053,"['Moonspinners']","['3LgHCFJvvxutGovpod8sne']",0.577,0.295,2,-14.17,0.032,0.115,2.72e-06,0.228,0.456,103.362,"1964","01","01"
4420,"Popmusikerens Vise - Live Version",9,162693,"['TV-2']","['6jvJrJNRIBqin5CYaT2cup']",0.782,0.526,2,-11.906,0.245,0.113,2.25e-06,0.328,0.782,115.772,"1987","11","12"
23611,"No Man's Land",0,162533,"['Bill Anderson']","['0gWNSMYCSHF4wxIs1XTSDh']",0.634,0.346,5,-12.063,0.045,0.686,0,0.338,0.839,82.743,"2011","06","13"
24723,"Piña Colada Boy - Radio Edit",44,186773,"['Baby Alice']","['17isEYpJlasy2wCvuTwmfL']",0.692,0.918,5,-3.504,0.0302,0.00135,0.000828,0.26,0.803,112.945,"2010","05","17"
13837,"Melanholiskais valsis",15,390240,"['Emīls Dārziņš', 'Liepājas Simfoniskais Orķestris, Imants Resnis', 'Imants Resnis', 'Liepājas Simfoniskais Orķestris']","['2DWSPEMweZMcI06Csa291Q', '1ZdENaiNav4HgfdjydsewE', '16DwchiWx05dDCpEnQSGz3', '21quyng0CXcFGHjbYfmPRr']",0.182,0.0344,9,-29.24,0.0421,0.961,0.741,0.0642,0.0989,120.723,"2001","09","07"
14465,"同じ夜",31,218000,"['Sheena Ringo']","['2XjqKvB2Xz9IdyjWPIHaXi']",0.384,0.353,10,-6.249,0.0295,0.906,0,0.154,0.593,207.739,"1999","02","24"
20780,"Mon dernier soldat",23,229293,"['Les Innocents']","['4yBNT94b6M3yRNVLIy8RhP']",0.53,0.428,2,-9.928,0.0268,0.557,0.000746,0.284,0.213,143.692,"1992","02","01"
10495,"I Will Survive - Rerecorded",62,265027,"['Gloria Gaynor']","['6V6WCgi7waF55bJmylC4H5']",0.673,0.752,9,-7.978,0.0491,0.00309,0,0.112,0.576,120.041,"1982",NA,NA
25296,"Vida Mia",39,187400,"['Los Gamma']","['4dtO6j9hZJQyD6wP41qKtB']",0.637,0.376,9,-12.05,0.027,0.491,0,0.35,0.384,89.847,"1999","07","20"
17348,"Una Noche Me Embriagué",13,161120,"['Los Alegres De Teran']","['3HxZx0W1g7n9DGdCFFHcRZ']",0.464,0.268,7,-12.182,0.0335,0.686,0.109,0.093,0.88,170.873,"1975","10","10"
846,"Buena Suerte",22,234547,"['Hereford']","['4aXUJo69L6Jyxxmubkuqc4']",0.284,0.913,7,-6.175,0.113,0.00111,0.000637,0.106,0.522,175.696,"2010","01","15"
16088,"Grândola vila morena",36,203373,"['José Afonso']","['7pPSDxHXT3VGLhn9XArHzB']",0.636,0.183,3,-19.494,0.101,0.894,0,0.0515,0.519,98.683,"2004","01","01"
21233,"Nino Gramo",34,61973,"['Manolo Kabezabolo']","['0mCVBnmmGLp7tjBR4J8Q3M']",0.726,0.335,2,-6.186,0.472,0.592,0,0.13,0.426,126.604,"2001","05","29"
18595,"素敵な未来を見て欲しい",28,265867,"['Keisuke Kuwata']","['6YIqgghQqnkNne8BKQpW6v']",0.595,0.626,7,-6.743,0.0293,0.544,0,0.161,0.608,124.067,"2002","11","27"
26916,"Citação: É Difícil / Chorando Se Foi (Llorando Se Fue) / Preta - Ao Vivo",37,263267,"['Ivete Sangalo']","['7dzq55YG3wjViqexDwiycQ']",0.608,0.948,2,-5.457,0.0518,0.272,0.0129,0.838,0.831,127.983,"2006","01","01"
3713,"Silêncio de Um Minuto",3,135000,"['Nelson Gonçalves']","['2wi99swSP87YaFjVOI3zGJ']",0.672,0.345,3,-6.616,0.0326,0.889,0,0.132,0.675,126.031,"1955",NA,NA
14981,"The Loving Gift",4,135267,"['Johnny Cash', 'June Carter Cash']","['6kACVPfCOnqzgfEF5ryl0x', '0ZnY6mQmgr2yZarjry68td']",0.502,0.191,0,-13.812,0.03,0.881,0.000195,0.196,0.361,76.734,"1952",NA,NA
26150,"Only When You Leave - 12"" Version",32,385000,"['Spandau Ballet']","['2urZrEdsq72kx0UzfYN8Yv']",0.669,0.725,7,-6.136,0.036,0.0456,0.0643,0.0436,0.834,136.863,"1986","06","30"
18177,"You Will Die",3,332000,"['DJ Mutante']","['5frybGd7YkcpOhjI4P0kzy']",0.554,0.983,11,-2.329,0.138,0.00255,0.465,0.412,0.0393,104.981,"2012","12","15"
1247,"Kapitel 13 - Der Skiurlaub (Folge 017)",27,62183,"['Benjamin Blümchen']","['1l6d0RIxTL3JytlLGvWzYe']",0.654,0.48,6,-16.682,0.94,0.569,0,0.604,0.454,137.269,"1981",NA,NA
10454,"BEAUTIFUL NAME - new version",20,222533,"['Godiego']","['7agr01GMFpbX5ie9UsTGxe']",0.658,0.804,5,-6.77,0.105,0.654,0,0.295,0.926,77.453,"1999","10","21"
20999,"Drips",57,285640,"['Eminem', 'Obie Trice']","['7dGJo4pcD2V6oG8kP0tJRR', '2XnnxQzxFZG8qEPjakokPM']",0.813,0.687,8,-4.85,0.298,0.0346,0,0.0878,0.666,83.944,"2002","05","26"
13199,"Tarantula",8,244706,"['Karibe con K']","['7wHbsRbx23UPiHo7sNoXEb']",0.784,0.759,0,-6.769,0.0328,0.294,0.0235,0.192,0.964,126.914,"1994","03","24"
20164,"Sunday Driving",35,252867,"['Rivermaya']","['1ZTdxfZTeztyAgKUJVLxAI']",0.697,0.662,9,-8.469,0.028,0.551,0.00107,0.105,0.571,116.995,"2008","01","29"
20280,"Cafe",47,222720,"['BIGBANG']","['4Kxlr1PRlDKEB0ekOCyHgX']",0.791,0.749,5,-5.296,0.0408,0.0875,0,0.326,0.736,106.042,"2011","04","08"
21900,"Ingjen som kjem",14,202789,"['E-76']","['2OFnmSAGGRIx8Xznv0GliR']",0.709,0.745,2,-7.14,0.0409,0.364,0,0.158,0.867,102.614,"1996","11","01"
5168,"No Conspiracy At All - Single Version",25,222800,"['Sioen']","['4PRGFWVPjJE8xoyBxNBH4w']",0.37,0.234,0,-12.06,0.0289,0.866,2.34e-05,0.115,0.277,138.568,"2007","01","01"
1905,"Man Is The Least",44,230573,"['Lady Saw']","['2X1VgNqQOiSbkyel3a9rjK']",0.747,0.697,0,-5.167,0.296,0.0692,0,0.0997,0.919,94.027,"2009","07","13"
5220,"Feel Free - Sebastian Gnewkow Remix",0,415748,"['Sammy Juice', 'Moto', 'R.U.I.', 'Sebastian Gnewkow']","['09FF1TJylVjXdhTlHMDMpP', '4IrJZIEdEuc8j6UfjD8PKu', '3qsO36bI4eCTzi4oZBffUH', '2N3TcYU1cazORrScaSc77m']",0.694,0.792,0,-6.313,0.0437,0.000429,0.15,0.439,0.649,127.004,"2017","01","30"
4175,"061 - und die Rache des Tigers - Teil 21",36,92493,"['Die drei ???']","['3meJIgRw7YleJrmbpbJK6S']",0.667,0.408,10,-14.228,0.935,0.296,0,0.344,0.834,138.895,"1995","02","27"
24804,"Los Aretes de la Luna",36,157800,"['La Sonora Santanera']","['3CsPxFJGyNa9ep79CFWN77']",0.669,0.547,7,-13.75,0.0679,0.802,1.52e-06,0.246,0.962,131.046,"1950",NA,NA
17500,"Nerdesin Nerde",22,244427,"['Ferdi Özbeğen']","['2bZXmEbQuj9XcGwgyIGuit']",0.559,0.672,10,-6.527,0.0349,0.584,0,0.291,0.552,127.979,"1986",NA,NA
23950,"Spanish Harlem",24,175560,"['Manuel & The Music Of The Mountains']","['63jNJ6txlnRE4leSfFoSu3']",0.608,0.305,4,-12.744,0.0287,0.544,9.02e-06,0.153,0.518,112.881,"1988",NA,NA
17276,"Il jolly",13,318626,"['Renato Zero']","['7i7EQonx0GrqoKiNQL4gFO']",0.538,0.784,5,-6.976,0.0636,0.0954,0.000393,0.093,0.607,145.07,"1981",NA,NA
17583,"More Than Words - Remix",56,227827,"['Extreme']","['6w7j5wQ5AI5OQYlcM15s2L']",0.666,0.291,6,-9.039,0.0268,0.56,0,0.114,0.416,91.841,"1990","08","07"
4020,"Me Pides Que Te Acaricie",2,172693,"['Jinsop']","['3yjSCMoZVzyVjMLJJ9p5Xx']",0.365,0.351,4,-10.663,0.0393,0.827,0.00127,0.0955,0.448,71.504,"1973","01","01"
6500,"What The World Needs Now Is Love",17,156502,"['Tom Jones']","['1T0wRBO0CK0vK8ouUMqEl5']",0.416,0.597,7,-8.226,0.0501,0.524,0,0.478,0.665,116.736,"1970","11","01"
16336,"La Vida en Rosa",27,166707,"['Pop Strings Orchestra']","['0vqIFscmDAnr59MxNOgSjQ']",0.626,0.52,9,-7.11,0.0254,0.0515,0.863,0.092,0.618,86.436,"1991","02","01"
6276,"Lonesome Rodeo Cowboy - Live",0,205933,"['Clay Blaker', 'The Texas Honky-Tonk Band']","['3nqVWAvbzRsMlhiyTcQO84', '6cYCCKvpMh0VtXGgKcgcUh']",0.695,0.638,7,-8.092,0.0714,0.735,2.8e-05,0.109,0.729,125.564,"2017","09","29"
19324,"ฟาวเวอร์",43,203871,"['P.A.P BEATBAND', 'N/A']","['3kCG4giKb7h5623JYYWIyy', '4oPYazJJ1o4rWBrTw9lm40']",0.786,0.443,0,-11.48,0.0669,0.587,2.18e-06,0.104,0.261,109.96,"2020","07","20"
1834,"Tiada Lagi",43,336027,"['Amy Search']","['5m9n0dY76euBtjt1Nf5jXS']",0.293,0.358,7,-8.249,0.0306,0.0872,1.39e-06,0.0731,0.0903,177.518,"2006","06","01"
24085,"Ruang Sendiri",59,269247,"['Tulus']","['2iDVt6mFbtbDEZG5ax0dTi']",0.322,0.514,7,-7.507,0.0575,0.258,0,0.11,0.367,160.446,"2016","08","03"
6183,"Suicide Blonde",58,232627,"['INXS']","['1eClJfHLoDI4rZe5HxzBFv']",0.612,0.962,4,-5.36,0.0897,0.00228,0.00896,0.123,0.694,119.962,"1990",NA,NA
17112,"Teremtős",26,229253,"['30Y']","['3uLh2gv7vN8sZ5rAPdCBE9']",0.283,0.955,4,-4.748,0.103,0.00517,0,0.357,0.598,143.253,"2006","02","24"
17637,"Mere Mehboob Mere Sanam",45,419498,"['Udit Narayan', 'Alka Yagnik']","['70B80Lwx2sxti0M1Ng9e8K', '3gBKY0y3dFFVRqicLnVZYz']",0.743,0.657,2,-12.929,0.0891,0.0249,0,0.262,0.807,114.622,"1998","05","08"
8165,"Locamente Enamorado",30,262773,"['Rubby Perez']","['0hrEx5826hgRBMESGY9wXC']",0.729,0.802,0,-6.11,0.0518,0.276,0,0.0737,0.88,143.994,"2002","03","01"
8734,"Seven and Seven Is",41,139160,"['Love']","['3Q6OOkfssqoMSTtl11J5Uk']",0.453,0.788,9,-9.23,0.0341,0.00438,0.000121,0.131,0.55,78.504,"1966","11","01"
4670,"Brighter",54,223280,"['Paramore']","['74XFHRwlV6OrjEM0A2NCMF']",0.501,0.929,9,-2.989,0.0539,0.00523,1.84e-06,0.167,0.455,146.982,"2005","07","26"
27234,"Barbara's Theme (Live 1960)",3,340667,"['Gerry Mulligan And The Concert Jazz Band']","['0Wbq4XTg8LujzCJX4siaMR']",0.451,0.116,0,-21.054,0.0503,0.949,0.786,0.703,0.32,98.563,"1960",NA,NA
5997,"Can't Get Over You",36,212820,"['Ice']","['79LTPmVpO4ADpAmQbSanhs']",0.701,0.913,6,-4.105,0.0348,0.0754,0.0085,0.678,0.829,127.998,"2001",NA,NA
16064,"מחרוזת: בין קשת לענן",10,598000,"['Ishay Levi']","['453AwzpC0rSLstVxT0LZpy']",0.745,0.625,9,-10.184,0.0384,0.0208,0,0.0502,0.797,142.806,"1990","01","01"
19827,"002 - ...im Zeltlager - Teil 30",32,60573,"['Fünf Freunde']","['1hD52edfn6aNsK3fb5c2OT']",0.721,0.636,8,-10.201,0.949,0.289,0,0.209,0.114,81.453,"1978","11","02"
8583,"Vamos por Ancho Camino",31,197950,"['Victor Jara']","['440MEFxEmF9othCXbz3Y6a']",0.352,0.538,1,-9.584,0.0331,0.86,2.11e-06,0.168,0.427,149.983,"1971","04","06"
13755,"I Want A Little Girl",2,158840,"['Count Basie']","['2jFZlvIea42ZvcCw4OeEdA']",0.534,0.224,7,-7.236,0.0689,0.968,9.2e-05,0.256,0.365,88.465,"1936",NA,NA
22216,"Tennessee fish fry",0,163105,"['Mildred Bailey']","['0LyTHMstvqKiSoqdnnjqix']",0.696,0.673,5,-2.196,0.102,0.825,0.452,0.0819,0.772,98.232,"1940",NA,NA
6030,"Muchiti Mugere",11,310404,"['James Chimombe']","['7tU55IugwgiHtfX25hHbmU']",0.44,0.599,5,-12.432,0.367,0.712,0.00113,0.105,0.673,169.323,"1996","01","01"
1416,"Soulshine",59,403507,"['Allman Brothers Band']","['4wQ3PyMz3WwJGI5uEqHUVR']",0.476,0.556,10,-6.501,0.0274,0.125,0.0117,0.0898,0.559,135.624,"1994","05","03"
4954,"Surf Pipers - From ""Slippery When Wet"" Soundtrack",4,216400,"['Bud Shank']","['2UuKUaomk3bZ0nHM3Y3FdW']",0.684,0.219,9,-15.985,0.112,0.868,0.605,0.0743,0.586,100.767,"1959","01","01"
10595,"Earth Boy",21,141013,"['Elvis Presley', 'The Jordanaires']","['43ZHCT0cAZBISjO8DG9PnE', '6CXezToiGS8K6jr9kr8Muv']",0.727,0.275,9,-12.781,0.0351,0.823,0,0.118,0.647,105.528,"1962","11","12"
2531,"I'll Slip Away - Bonus Track",30,173293,"['Rodríguez']","['5PrHzxc3kFm4hIrGNmelpX']",0.686,0.607,6,-6.416,0.0309,0.241,1.48e-05,0.0864,0.896,105.156,"1971","11","23"
18463,"Leave Me Alone",28,214173,"['Hanna Pakarinen']","['5b7lGX7blhgNvI2i5V6BhE']",0.273,0.839,9,-6.392,0.0477,0.000312,7.43e-05,0.501,0.433,141.478,"2007","02","12"
9364,"007 - verfolgen die Strandräuber - Teil 34",28,65400,"['Fünf Freunde']","['1hD52edfn6aNsK3fb5c2OT']",0.767,0.382,6,-8.286,0.883,0.87,0,0.313,0.804,90.07,"1979","04","01"
24873,"MY LOVE",62,220929,"['LeeHi']","['7cVZApDoQZpS447nHTsNqu']",0.375,0.343,11,-7.224,0.0345,0.859,0,0.134,0.158,121.879,"2016","10","04"
6687,"לילה אחד",38,216750,"['Atar Mayner']","['1oTaLSazZlqH2azlemNZOm']",0.854,0.381,5,-7.481,0.0622,0.291,2.62e-06,0.15,0.261,100.096,"2020","12","20"
24996,"Everything I Own",29,187000,"['Bread']","['70ZTdbPEcEugBNay4MvxfL']",0.365,0.338,2,-13.406,0.0322,0.735,0,0.104,0.446,79.241,"1985","08","13"
25444,"073 - Poltergeist - Teil 27",36,106000,"['Die drei ???']","['3meJIgRw7YleJrmbpbJK6S']",0.613,0.397,11,-16.76,0.876,0.247,0,0.57,0.503,49.832,"1997","02","10"
10314,"Kapitel 22 - als Schornsteinfeger (Folge 018)",27,61922,"['Benjamin Blümchen']","['1l6d0RIxTL3JytlLGvWzYe']",0.637,0.372,6,-18.182,0.956,0.525,0,0.206,0.35,87.5,"1982",NA,NA
