,Primary completion rate: Male: % of relevant age group: 2015,Primary completion rate: Female: % of relevant age group: 2015,Lower secondary completion rate: Male: % of relevant age group: 2015,Lower secondary completion rate: Female: % of relevant age group: 2015,Youth literacy rate: Male: % of ages 15-24: 2005-14,Youth literacy rate: Female: % of ages 15-24: 2005-14,Adult literacy rate: Male: % ages 15 and older: 2005-14,Adult literacy rate: Female: % ages 15 and older: 2005-14,Students at lowest proficiency on PISA: Mathematics: % of 15 year-olds: 2015,Students at lowest proficiency on PISA: Reading: % of 15 year-olds: 2015,Students at lowest proficiency on PISA: Science: % of 15 year-olds: 2015,Population: millions: 2016,Surface area: sq. km thousands: 2016,Population density: people per sq. km: 2016,"Gross national income, Atlas method: $ billions: 2016","Gross national income per capita, Atlas method: $: 2016",Purchasing power parity gross national income: $ billions: 2016,per capita: $: 2016,Gross domestic product: % growth : 2016,per capita: % growth: 2016,Prevalence of smoking: Male: % of adults: 2015,Prevalence of smoking: Female: % of adults: 2015,"Incidence of tuberculosis: per 100,000 people: 2015",Prevalence of diabetes: % of population ages 20 to 79: 2015,Incidence of HIV: Total: % of uninfected population ages 15-49: 2015,Prevalence of HIV: Total: % of population ages 15-49: 2015,Prevalence of HIV: Women's share of population ages 15+ living with HIV: %: 2015,"Prevalence of HIV: Youth, Male: % of population ages 15-24: 2015","Prevalence of HIV: Youth, Female: % of population ages 15-24: 2015",Antiretroviral therapy coverage: % of people living with HIV: 2015,"Cause of death: Communicable diseases and maternal, prenatal, and nutrition conditions: % of population: 2015",Cause of death: Non-communicable diseases: % of population: 2015,Cause of death: Injuries: % of population: 2015,Access to an improved water source: % of population: 1990,Access to an improved water source: % of population: 2015,Access to improved sanitation facilities: % of population: 1990,Access to improved sanitation facilities: % of population: 2015,Child immunization rate: Measles: % of children ages 12-23 months: 2015,Child immunization rate: DTP3: % of children ages 12-23 months: 2015,Children with acute respiratory infection taken to health provider: % of children under age 5 with ARI: 2009-2016,Children with diarrhea who received oral rehydration and continuous feeding: % of children under age 5 with diarrhea: 2009-2016,Children sleeping under treated bed nets: % of children under age 5: 2009-2016,Children with fever receiving antimalarial drugs: % of children under age 5 with fever: 2009-2016,Tuberculosis: Treatment success rate: % of new cases: 2014,Tuberculosis: Cases detection rate: % of new estimated cases: 2015
"Congo, Dem. Rep.",73.0,60.0,62.0,34.0,91.0,77.0,88.0,63.0,,,,78.7,2344.9,35.0,32.7,420.0,57.8,730.0,2.2,-1.1,,,324.0,6.4,0.03,0.8,60.0,0.2,0.3,33.0,60.0,30.0,11.0,44.0,52.0,19.0,29.0,79.0,81.0,42.0,40.0,55.8,29.2,89.0,48.0
"Congo, Rep.",70.0,79.0,53.0,51.0,86.0,77.0,86.0,73.0,,,,5.1,342.0,15.0,8.8,1710.0,27.6,5380.0,-1.9,-4.4,43.0,2.0,379.0,6.9,,,,,,,53.0,37.0,10.0,,77.0,,15.0,80.0,80.0,52.0,48.0,31.5,25.0,69.0,57.0
Costa Rica,99.0,100.0,56.0,63.0,99.0,99.0,97.0,98.0,27.0,2.0,1.0,4.9,51.1,95.0,52.6,10840.0,76.5,15750.0,4.3,3.3,19.0,8.0,11.0,8.5,0.02,0.3,28.0,0.2,0.1,56.0,7.0,83.0,10.0,93.0,98.0,88.0,95.0,93.0,92.0,77.0,70.0,,,89.0,80.0
Cote d'Ivoire,69.0,57.0,41.0,29.0,58.0,39.0,52.0,30.0,,,,23.7,322.5,75.0,36.0,1520.0,85.6,3610.0,8.8,6.1,,,159.0,2.3,0.19,3.2,58.0,0.7,1.1,35.0,53.0,36.0,11.0,76.0,82.0,15.0,23.0,72.0,83.0,38.0,36.0,37.2,17.5,79.0,62.0
Croatia,100.0,100.0,97.0,98.0,100.0,100.0,100.0,99.0,12.0,1.0,0.0,4.2,56.6,75.0,50.5,12110.0,95.4,22880.0,2.9,3.7,39.0,34.0,13.0,5.6,,,,,,,2.0,93.0,5.0,98.0,100.0,97.0,97.0,93.0,94.0,,,,,71.0,87.0
Cuba,95.0,97.0,90.0,94.0,100.0,100.0,100.0,100.0,,,,11.5,109.9,110.0,,,,,4.4,4.2,53.0,18.0,7.0,10.0,0.05,0.3,26.0,0.1,0.1,69.0,8.0,84.0,8.0,,95.0,82.0,93.0,99.0,99.0,93.0,43.0,,,82.0,87.0
Curacao,,,,,,,,,,,,0.2,0.4,360.0,,,,,,,,,4.0,13.3,,,,,,,,,,,,,,,,,,,,0.0,87.0
Cyprus,96.0,98.0,98.0,98.0,100.0,100.0,99.0,98.0,20.0,4.0,2.0,1.2,9.3,127.0,20.1,23680.0,26.7,31420.0,2.8,2.7,,,6.0,9.6,,,,,,,4.0,91.0,5.0,100.0,100.0,100.0,100.0,90.0,97.0,,,,,59.0,87.0
Czech Republic,96.0,96.0,99.0,100.0,,,,,7.0,1.0,0.0,10.6,78.9,137.0,185.6,17570.0,345.5,32710.0,2.4,2.3,37.0,29.0,5.0,7.4,,,,,,,5.0,90.0,5.0,100.0,100.0,99.0,99.0,99.0,99.0,,,,,76.0,93.0
Denmark,99.0,98.0,97.0,99.0,,,,,3.0,1.0,0.0,5.7,42.9,136.0,325.1,56730.0,292.5,51040.0,1.3,0.4,18.0,16.0,6.0,7.2,,,,,,,6.0,90.0,4.0,100.0,100.0,100.0,100.0,91.0,93.0,,,,,52.0,95.0
Djibouti,68.0,59.0,49.0,41.0,,,,,,,,0.9,23.2,41.0,,,,,6.5,4.7,,,378.0,8.4,0.11,1.6,57.0,0.4,0.7,21.0,47.0,43.0,10.0,78.0,90.0,66.0,47.0,74.0,84.0,94.0,,19.9,0.9,81.0,80.0
Dominica,106.0,117.0,96.0,97.0,,,,,,,,0.1,0.8,98.0,0.5,6750.0,0.8,10610.0,0.9,0.4,,,11.0,12.6,,,,,,,,,,,,,,96.0,98.0,,,,,100.0,87.0
Dominican Republic,96.0,93.0,72.0,80.0,97.0,98.0,91.0,92.0,68.0,13.0,16.0,10.6,48.7,220.0,68.0,6390.0,154.2,14480.0,6.6,5.4,19.0,9.0,60.0,8.8,0.04,1.0,48.0,0.3,0.3,46.0,18.0,69.0,14.0,87.0,85.0,73.0,84.0,90.0,85.0,73.0,52.0,,,83.0,71.0
Ecuador,115.0,116.0,100.0,103.0,99.0,99.0,95.0,93.0,,,,16.4,256.4,66.0,95.3,5820.0,181.4,11070.0,-1.5,-2.9,14.0,3.0,52.0,9.2,0.01,0.3,31.0,0.1,0.1,54.0,16.0,71.0,13.0,74.0,87.0,57.0,85.0,84.0,78.0,,,,,77.0,60.0
"Egypt, Arab Rep.",103.0,104.0,81.0,85.0,94.0,90.0,83.0,67.0,,,,95.7,1001.5,96.0,331.3,3460.0,1063.4,11110.0,4.3,2.2,50.0,0.0,15.0,16.7,0.01,0.1,30.0,0.1,0.1,19.0,11.0,83.0,6.0,93.0,99.0,73.0,95.0,92.0,93.0,68.0,22.0,,,84.0,59.0
El Salvador,101.0,99.0,86.0,89.0,97.0,98.0,89.0,85.0,,,,6.3,21.0,306.0,24.8,3920.0,52.2,8220.0,2.4,1.8,,,43.0,9.2,0.01,0.5,35.0,0.2,0.1,54.0,12.0,71.0,17.0,70.0,94.0,51.0,75.0,95.0,91.0,80.0,72.0,,,91.0,92.0
Equatorial Guinea,50.0,51.0,29.0,27.0,98.0,99.0,97.0,92.0,,,,1.2,28.1,44.0,8.0,6550.0,20.8,17020.0,-9.7,-13.1,,,172.0,7.7,0.02,4.9,57.0,0.6,1.1,31.0,50.0,39.0,10.0,,48.0,,75.0,27.0,16.0,54.0,53.0,23.0,33.2,58.0,86.0
Eritrea,42.0,36.0,32.0,30.0,94.0,91.0,82.0,64.0,,,,,117.6,,,,,,,,,,65.0,3.6,0.02,0.6,64.0,0.2,0.2,60.0,46.0,42.0,12.0,47.0,58.0,9.0,16.0,85.0,95.0,45.0,57.0,20.4,1.5,91.0,61.0
Estonia,101.0,102.0,116.0,111.0,100.0,100.0,100.0,100.0,2.0,0.0,0.0,1.3,45.2,31.0,23.4,17750.0,38.1,28920.0,1.6,1.5,41.0,25.0,18.0,4.4,,,,,,,3.0,93.0,5.0,99.0,100.0,97.0,97.0,93.0,93.0,,,,,84.0,87.0
Ethiopia,55.0,53.0,30.0,29.0,63.0,47.0,49.0,29.0,,,,102.4,1104.3,102.0,67.5,660.0,177.0,1730.0,7.6,4.9,9.0,1.0,192.0,3.4,,,,,,,49.0,39.0,12.0,13.0,57.0,3.0,28.0,78.0,86.0,27.0,25.0,30.1,26.3,89.0,71.0
Faroe Islands,,,,,,,,,,,,0.0,1.4,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,106.0,107.0,94.0,99.0,,,,,,,,0.9,18.3,49.0,4.3,4840.0,8.2,9140.0,2.0,1.2,39.0,12.0,51.0,13.8,,,,,,,11.0,84.0,5.0,86.0,96.0,57.0,91.0,94.0,99.0,,,,,87.0,80.0
Finland,100.0,100.0,100.0,100.0,,,,,4.0,1.0,0.0,5.5,338.4,18.0,245.8,44730.0,238.5,43400.0,1.4,1.1,23.0,19.0,6.0,6.0,,,,,,,1.0,93.0,6.0,100.0,100.0,97.0,98.0,97.0,98.0,,,,,45.0,87.0
France,,,103.0,104.0,,,,,9.0,2.0,1.0,66.9,549.1,122.0,2605.8,38950.0,2835.2,42380.0,1.2,0.8,30.0,26.0,8.0,5.3,,,,,,,6.0,87.0,6.0,100.0,100.0,99.0,99.0,91.0,98.0,,,,,,85.0
French Polynesia,,,,,,,,,,,,0.3,4.0,77.0,,,,,,,,,19.0,19.4,,,,,,,,,,100.0,100.0,98.0,99.0,,,,,,,76.0,87.0
Gabon,,,,,87.0,89.0,85.0,80.0,,,,2.0,267.7,8.0,14.3,7210.0,33.1,16720.0,2.3,-0.3,,,465.0,7.8,0.14,3.8,67.0,0.5,1.1,58.0,46.0,45.0,9.0,,93.0,,42.0,68.0,80.0,54.0,52.0,38.8,25.9,58.0,71.0
"Gambia, The",67.0,72.0,63.0,64.0,75.0,69.0,63.0,46.0,,,,2.0,11.3,201.0,0.9,440.0,3.3,1640.0,1.6,-1.4,,,174.0,2.0,0.12,1.8,61.0,0.3,0.6,24.0,55.0,33.0,11.0,76.0,90.0,60.0,59.0,97.0,97.0,68.0,51.0,47.0,6.7,88.0,73.0
Georgia,120.0,122.0,109.0,107.0,100.0,100.0,100.0,100.0,31.0,9.0,4.0,3.7,69.7,65.0,14.2,3810.0,35.1,9450.0,2.7,2.7,58.0,6.0,99.0,6.4,0.05,0.4,22.0,0.1,0.1,32.0,3.0,93.0,4.0,85.0,100.0,98.0,86.0,96.0,94.0,,,,,83.0,80.0
Germany,103.0,102.0,58.0,57.0,,,,,5.0,1.0,0.0,82.7,357.4,237.0,3609.4,43660.0,4094.8,49530.0,1.9,0.7,32.0,28.0,8.0,7.4,,,,,,,5.0,92.0,4.0,100.0,100.0,99.0,99.0,97.0,96.0,,,,,63.0,87.0
Ghana,101.0,101.0,80.0,75.0,88.0,83.0,78.0,65.0,,,,28.2,238.5,124.0,38.9,1380.0,117.2,4150.0,3.6,1.3,13.0,0.0,160.0,2.3,0.08,1.6,60.0,0.3,0.6,34.0,46.0,44.0,10.0,56.0,89.0,7.0,15.0,89.0,88.0,53.0,42.0,46.6,48.5,85.0,33.0
Greece,96.0,96.0,96.0,95.0,100.0,99.0,98.0,97.0,15.0,2.0,1.0,10.7,132.0,83.0,203.7,18960.0,289.1,26900.0,0.0,0.7,53.0,33.0,5.0,5.2,0.02,0.3,18.0,0.2,0.1,,3.0,94.0,3.0,98.0,100.0,93.0,99.0,97.0,99.0,,,,,,90.0
Greenland,,,,,,,,,,,,0.1,410.5,0.0,,,,,1.7,2.0,,,164.0,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,68.0,87.0
Grenada,89.0,90.0,87.0,88.0,,,,,,,,0.1,0.3,316.0,0.9,8830.0,1.4,13440.0,1.9,1.4,,,5.0,11.4,,,,,,,13.0,81.0,6.0,97.0,97.0,98.0,98.0,99.0,92.0,,,,,100.0,87.0
Guam,,,,,,,,,,,,0.2,0.5,302.0,,,,,0.4,-0.1,,,51.0,18.7,,,,,,,,,,100.0,100.0,89.0,90.0,,,,,,,89.0,87.0
Guatemala,86.0,84.0,64.0,61.0,95.0,93.0,87.0,76.0,,,,16.6,108.9,155.0,62.8,3790.0,128.5,7750.0,3.1,1.0,,,25.0,11.1,0.04,0.6,39.0,0.2,0.2,30.0,25.0,57.0,18.0,77.0,93.0,47.0,64.0,99.0,74.0,52.0,56.0,,0.4,85.0,80.0
