OBJECTID_1,OBJECTID,District,Route,Rte_SFX,County,PM_PFX,Postmile,PM_SFX,Descriptn,Back_pk_h,Back_pk_m,Back_AADT,Ahead_pk_h,Ahead_pk_m,Ahead_AADT,Lon_S_or_W,Lat_S_or_W,Lon_N_or_E,Lat_N_or_E
27,27,1,1, ,MEN, ,105.578, ,"LEGGETT, JCT. RTE. 101",200,1800,800, , , ,-123.7135928,39.86816499,-123.7135928,39.86816499
28,28,1,20, ,MEN,R,0, ,JCT. RTE. 1, , , ,900,11900,9500,-123.8079086,39.42012428,-123.8079086,39.42012428
29,29,1,20, ,MEN,R,0.274, ,SOUTH HARBOR DRIVE,900,11900,9500,1000,9500,8000,-123.8029378,39.41931983,-123.8029335,39.41931929
30,30,1,20, ,MEN, ,2.08, ,SUMMER LANE,750,7500,6000,470,4600,3600,-123.7708521,39.41520616,-123.7708385,39.41512723
31,31,1,20, ,MEN, ,17.285, ,CHAMBERLAIN CREEK,270,3800,2800,330,4500,3100,-123.5566489,39.35285458,-123.5566489,39.35285458
32,32,1,20, ,MEN, ,32.437, ,"WILLITS, WEST CITY LIMITS",390,4600,3800,600,7500,6000,-123.3653247,39.40557808,-123.3653247,39.40557808
33,33,1,20, ,MEN,L,35.956, ,NORTH JCT. RTE. 101,700,7900,6400,1400,15400,13700,-123.3243948,39.37590851,-123.3243948,39.37590851
34,34,1,20, ,MEN, ,33.22, ,SOUTH JCT. RTE. 101,1400,15400,13700,1400,15900,14400,-123.2074252,39.23994053,-123.2074252,39.23994053
35,35,1,20, ,MEN, ,33.769, ,REDWOOD VALLEY ROAD,1400,15900,14400,1500,15400,14700,-123.1984328,39.24346833,-123.1984328,39.24346833
36,36,1,20, ,MEN, ,35.39, ,MARINA DRIVE,1500,15400,14700,1500,14400,13700,-123.1710045,39.23797836,-123.1710045,39.23797836
37,37,1,20, ,MEN,R,38.054, ,POTTER VALLEY ROAD,1250,13500,11800,1250,13200,11500,-123.1258484,39.24561567,-123.1259309,39.24552138
38,38,1,20, ,MEN, ,44.114, ,MENDOCINO/LAKE COUNTY LINE,1250,13200,11500, , , ,-123.0403577,39.19167842,-123.0403577,39.19167842
39,39,1,20, ,LAK, ,0, ,MENDOCINO/LAKE COUNTY LINE, , , ,1100,11700,10100,-123.0403577,39.19167842,-123.0403577,39.19167842
40,40,1,20, ,LAK, ,3.63, ,SCOTT VALLEY ROAD,980,10900,9600,1000,11500,10500,-122.9935202,39.15825357,-122.9935202,39.15825357
41,41,1,20, ,LAK, ,8.319, ,JCT. RTE. 29 SOUTH,1100,12200,10600,850,9300,6800,-122.9210913,39.16341053,-122.9211137,39.16336922
42,42,1,20, ,LAK, ,12.199, ,LUCERNE CUTOFF,1000,11000,9800,1250,13000,12000,-122.8699941,39.1299345,-122.8701333,39.12990789
43,43,1,20, ,LAK, ,18.53, ,"LUCERNE, EAST; BELL RAY AVENUE",910,9600,8700,780,8300,7500,-122.7831414,39.0765585,-122.7831414,39.0765585
44,44,1,20, ,LAK, ,25.97, ,"CLEAR LAKE OAKS, EAST",610,6500,5800,700,7300,6500,-122.7046339,39.02028757,-122.7046339,39.02028757
45,45,1,20, ,LAK, ,31.525, ,JCT. RTE. 53 SOUTH,900,9300,8500,900,9300,8500,-122.6154364,39.00865942,-122.6154364,39.00865942
46,46,1,20, ,LAK, ,31.62, ,JCT. RTE. 53 SOUTH,900,9300,8500,940,8800,7300,-122.613746,39.00883841,-122.613746,39.00883841
47,47,1,20, ,LAK, ,46.475, ,LAKE/COLUSA COUNTY LINE,850,8500,7000, , , ,-122.4093185,39.01135215,-122.4093185,39.01135215
48,48,1,29, ,LAK, ,0, ,NAPA/LAKE COUNTY LINE, , , ,970,8800,8500,-122.5919806,38.67602765,-122.5919806,38.67602765
49,49,1,29, ,LAK, ,4.15, ,RANCHERIA ROAD,870,9700,9100,870,10300,9900,-122.6228388,38.73154495,-122.6228388,38.73154495
50,50,1,29, ,LAK, ,4.54, ,DRY CREEK CUTOFF,870,10300,9900,820,12000,10800,-122.6260763,38.736698,-122.6260763,38.736698
51,51,1,29, ,LAK, ,5.811, ,"MIDDLETOWN, JCT. RTE. 175",900,12500,11700,910,13100,12800,-122.6152405,38.75238706,-122.6152405,38.75238706
52,52,1,29, ,LAK, ,6.36, ,"MIDDLETOWN, BUTTS CANYON ROAD",910,13100,12800,910,13100,12900,-122.6069565,38.75699084,-122.6069411,38.75692044
53,53,1,29, ,LAK, ,11.124, ,HIDDEN VALLEY/SPRUCE ROAD,900,12500,11100,900,12000,10900,-122.5728631,38.80915359,-122.5728631,38.80915359
54,54,1,29, ,LAK, ,11.93, ,SPRUCE GROVE ROAD,900,12000,10900,900,12000,10900,-122.5766519,38.81986513,-122.5765798,38.81990086
55,55,1,29, ,LAK, ,20.31, ,JCT. RTE. 53 NORTH,940,12500,11700,800,11500,9700,-122.6123472,38.91014271,-122.6123472,38.91014271
56,56,1,29, ,LAK, ,21.65, ,SEIGLER CANYON ROAD,1150,12600,11600,1050,11600,10600,-122.6368215,38.91043689,-122.6368215,38.91043689
57,57,1,29, ,LAK, ,22.19, ,POINT LAKEVIEW DRIVE,1050,11600,10600,860,10300,9100,-122.6461449,38.9104465,-122.6461449,38.9104465
58,58,1,29, ,LAK, ,27.89, ,JCT. RTE. 281,860,10300,9100,900,10300,9300,-122.741491,38.929689,-122.741491,38.929689
59,59,1,29, ,LAK, ,31.05, ,JCT. RTE. 175,900,10300,9300,1000,10300,9850,-122.7921623,38.9425968,-122.7921623,38.9425968
60,60,1,29, ,LAK, ,31.33, ,JCT. RTE. 175,1000,10300,9900,1000,10300,9900,-122.7971847,38.94358811,-122.7971847,38.94358811
61,61,1,29, ,LAK, ,32.35, ,BOTTLE ROCK ROAD,1000,10300,9800,1200,12000,10800,-122.8151558,38.94458412,-122.8151558,38.94458412
62,62,1,29, ,LAK,R,34.58, ,MAIN STREET,1200,12700,11700,1200,12100,11700,-122.8303788,38.97102423,-122.8302804,38.97106925
63,63,1,29, ,LAK,R,34.747, ,"KELSEYVILLE, LIVE OAK DRIVE",1200,12100,11700,1200,12500,12000,-122.8329712,38.97236084,-122.8329522,38.97243698
64,64,1,29, ,LAK,R,35.32, ,"KELSEYVILLE, BELL HILL ROAD",1200,12500,11800,1200,12000,11400,-122.8425777,38.97565749,-122.842567,38.97573601
65,65,1,29, ,LAK,R,36.289, ,RENFRO DRIVE,1200,12000,11500,1300,14100,13500,-122.857047,38.98399113,-122.8568738,38.98408767
66,66,1,29, ,LAK,R,37.669, ,ARGONAUT ROAD,1300,14400,13200,1300,14100,13100,-122.8794417,38.99400062,-122.8794417,38.99400062
67,67,1,29, ,LAK,R,38.592, ,HIGHLAND SPRINGS ROAD,1300,14100,13500,1400,15000,13900,-122.8939455,39.00070752,-122.8939469,39.00085779
68,68,1,29, ,LAK,R,40.14, ,JCT. RTE. 175,1500,15100,14500,1300,13700,13000,-122.9128878,39.01688436,-122.9128878,39.01688436
69,69,1,29, ,LAK,R,41.423, ,"LAKEPORT, LAKEPORT BOULEVARD",1300,13700,13000,1350,15700,13500,-122.9239668,39.03326333,-122.9238169,39.0333942
70,70,1,29, ,LAK,R,42.677, ,11TH STREET,1350,15700,13500,1300,13300,12600,-122.9316388,39.04987569,-122.9314257,39.04987859
71,71,1,29, ,LAK,R,45.145, ,PARK WAY,1300,13300,12600,980,11000,10400,-122.9262253,39.0842952,-122.9260719,39.08418024
72,72,1,29, ,LAK,R,47.849, ,LUCERNE,980,11000,10400,700,7600,7000,-122.9052491,39.11826679,-122.9050316,39.11825966
73,73,1,29, ,LAK, ,52.539, ,JCT. RTE. 20,700,7600,7000, , , ,-122.9209697,39.1631805,-122.9209697,39.1631805
74,74,1,36, ,HUM, ,0, ,"ALTON, JCT. RTE. 101", , , ,510,5300,4700,-124.1454014,40.54862242,-124.1454014,40.54862242
75,75,1,36, ,HUM, ,0.298, ,EAST LIMITS ALTON,510,5300,4700,510,5600,4900,-124.1397119,40.54855371,-124.1397119,40.54855371
76,76,1,36, ,HUM, ,2.811, ,"HYDESVILLE, ROHNERVILLE ROAD",720,5800,4600,530,5800,5300,-124.0973958,40.54769439,-124.097416,40.54760548
77,77,1,36, ,HUM, ,3.27, ,EAST LIMITS HYDESVILLE,700,5700,5200,700,5500,5200,-124.0890939,40.54582157,-124.0890859,40.54581973
78,78,1,36, ,HUM, ,7.54, ,"CARLOTTA, EAST",320,3300,2600,320,3300,2600,-124.0235537,40.51939374,-124.0235537,40.51939374
79,79,1,36, ,HUM,R,23.709, ,WEST LIMITS BRIDGEVILLE,190,2700,2300,180,2500,2000,-123.8029814,40.46819477,-123.8029814,40.46819477
80,80,1,36, ,HUM,R,23.916, ,"BRIDGEVILLE, ALDERPOINT ROAD",180,2500,2000,100,2200,1900,-123.7992912,40.46849234,-123.7992912,40.46849234
81,81,1,36, ,HUM, ,43.955, ,EAST LIMITS COBB,140,2000,1700,150,2000,1700,-123.5713489,40.47899377,-123.5713489,40.47899377
82,82,1,36, ,HUM, ,45.681, ,HUMBOLDT/TRINITY COUNTY LINE,140,1900,1600, , , ,-123.5444876,40.46553918,-123.5444876,40.46553918
83,83,1,53, ,LAK, ,0, ,"LOWER LAKE, JCT. RTE. 29", , , ,2100,19400,17700,-122.612284,38.91014253,-122.612284,38.91014253
84,84,1,53, ,LAK, ,1.47, ,"LAKESHORE DRIVE, OLD STATE HIGHWAY",2100,19400,17700,2200,19400,18300,-122.6190537,38.93001458,-122.6188566,38.93004429
85,85,1,53, ,LAK, ,2.96, ,"CLEARLAKE HIGHLANDS, 40TH AVENUE",2200,19400,18300,880,9400,8700,-122.62311,38.9506981,-122.62311,38.9506981
86,86,1,53, ,LAK, ,7.445, ,JCT. RTE. 20,560,6300,5700, , , ,-122.6137612,39.00883654,-122.6137612,39.00883654
87,87,1,96, ,HUM, ,0, ,"WILLOW CREEK, JCT. RTE. 299", , , ,320,3500,3100,-123.6314436,40.9393743,-123.6314436,40.9393743
88,88,1,96, ,HUM, ,0.1, ,STANDARD OIL LANE,320,3500,3100,300,4300,3800,-123.6315229,40.94075602,-123.6315229,40.94075602
89,89,1,96, ,HUM, ,3.59, ,"WILLOW CREEK, NORTH",220,2100,1900,220,2100,1900,-123.6367968,40.98901579,-123.6367968,40.98901579
90,90,1,96, ,HUM, ,10.95, ,SOUTH LIMITS HOOPA,340,4300,3900,300,3600,3200,-123.6724688,41.04455277,-123.6724688,41.04455277
91,91,1,96, ,HUM, ,12.83, ,NORTH LIMITS HOOPA,270,2500,2200,270,2500,2200,-123.6867532,41.06820559,-123.6866434,41.06821193
92,92,1,96, ,HUM, ,23.086, ,"WEITCHPEC, JCT. RTE. 169",90,1250,1100,60,720,500,-123.7046852,41.18656716,-123.7046852,41.18656716
93,93,1,96, ,HUM, ,37.87, ,EYESEE ROAD,110,1200,1000,120,1400,1200,-123.551336,41.2991875,-123.551336,41.2991875
94,94,1,96, ,HUM, ,38.5, ,"ORLEANS, NORTH",110,1200,1000,110,1200,1000,-123.5368896,41.30285885,-123.5368896,41.30285885
95,95,1,96, ,HUM,R,38.773, ,"KLAMATH RIVER, NORTH",90,820,700,100,1100,900,-123.5314172,41.30352132,-123.5314172,41.30352132
96,96,1,96, ,HUM,R,44.979, ,HUMBOLDT/SISKIYOU COUNTY LINE,90,700,630, , , ,-123.488186,41.37713724,-123.488186,41.37713724
97,97,1,101, ,MEN,R,0.103, ,SONOMA/MENDOCINO COUNTY LINE, , , ,1500,15100,14200,-123.0318917,38.85257734,-123.0317251,38.85257935
98,98,1,101, ,MEN, ,9.17, ,EAST SIDE ROAD,1200,15500,13500,1200,15500,13500,-123.0985314,38.95287116,-123.0985314,38.95287116
99,99,1,101, ,MEN, ,10.81, ,MOUNTAIN HOUSE ROAD,1200,15500,13500,1400,18200,15000,-123.1165272,38.97011852,-123.1164857,38.97005651
100,100,1,101, ,MEN, ,10.89, ,"HOPLAND, JCT. RTE. 175 EAST",1400,17400,14900,1500,18000,16000,-123.1166111,38.97127056,-123.116606,38.97122698
101,101,1,101, ,MEN, ,19.683, ,EL ROBLE,1450,17700,15700,1500,18000,16000,-123.1821552,39.08365591,-123.1819302,39.08373103
102,102,1,101, ,MEN, ,20.711, ,ROBINSON,1550,18000,16000,1600,18000,16600,-123.1897262,39.0973478,-123.1895034,39.09742232
103,103,1,101, ,MEN,R,21.59, ,JCT. RTE. 253 WEST,1600,18000,16600,2000,22000,19700,-123.1953045,39.1092355,-123.1950326,39.10916821
104,104,1,101, ,MEN,R,21.8, ,"UKIAH, JCT. RTE. 222",2000,22000,19700,2000,22000,19700,-123.1957441,39.11221063,-123.1954923,39.11223928
105,105,1,101, ,MEN,R,23.45, ,UKIAH JCT 222 EAST,2000,22000,19700,2200,29500,25400,-123.1958223,39.13599758,-123.1955751,39.13600129
106,106,1,101, ,MEN,R,24.062, ,"UKIAH, GOBBI STREET",2200,29500,25400,2450,31000,28100,-123.1964704,39.14483911,-123.1962389,39.14486653
107,107,1,101, ,MEN,R,24.527, ,"UKIAH, EAST PERKINS STREET",2450,31000,28100,3000,39000,32800,-123.1969572,39.15158772,-123.1967205,39.15158487
108,108,1,101, ,MEN,R,26.161, ,NORTH STATE STREET,3000,39000,32800,3300,40500,30200,-123.2111781,39.17085083,-123.2111881,39.17113779
109,109,1,101, ,MEN, ,27.41, ,LAKE MENDOCINO DRIVE,3300,40500,30200,3000,34000,28700,-123.2107621,39.1912271,-123.2104923,39.19123139
110,110,1,101, ,MEN, ,30.434, ,MOORE AVENUE,3000,34000,28700,2700,32500,26700,-123.2084037,39.23415282,-123.2081591,39.23415889
111,111,1,101, ,MEN, ,30.833, ,JCT. RTE. 20 EAST,2700,32500,24000,2400,27500,24000,-123.2076235,39.23984049,-123.2073505,39.23998409
112,112,1,101, ,MEN,R,32.626, ,WEST ROAD,2300,27500,23700,1750,19700,16900,-123.2228921,39.26180957,-123.222773,39.26189121
113,113,1,101, ,MEN,R,43.787, ,EB 10-128RL,800,8300,6800,800,8300,7200,-123.3258407,39.37594587,-123.3255652,39.37605631
114,114,1,101, ,MEN,R,48.22, ,EB 10-174,710,6800,5500,970,9900,7900,-123.3554885,39.42837222,-123.3554885,39.42837222
115,115,1,101, ,MEN, ,55.38, ,"LONGVALE ROAD, JCT. RTE. 162 EAST",970,9700,8000,970,9700,8000,-123.3905702,39.51610713,-123.3904782,39.51613701
116,116,1,101, ,MEN, ,59.308, ,JCT RTE 162 EAST,970,9700,8000,800,7500,6500,-123.4222835,39.54305591,-123.4302323,39.55521715
117,117,1,101, ,MEN, ,68.78, ,"LAYTONVILLE, SOUTH",960,9800,8000,960,8900,8000,-123.4760092,39.67960561,-123.4760082,39.67959098
118,118,1,101, ,MEN, ,69.49, ,"LAYTONVILLE, BRANSCOMB ROAD",950,8800,8000,880,9800,8500,-123.4831496,39.6877892,-123.4830545,39.68776503
119,119,1,101, ,MEN,R,84.687, ,JCT. RTE. 271,950,9300,8000,900,9000,7500,-123.6316118,39.83460866,-123.6315557,39.83469935
120,120,1,101, ,MEN,R,89.565, ,SCANDIA ROAD,900,9000,7500,740,7500,6500,-123.707754,39.8485265,-123.7076025,39.84857215
121,121,1,101, ,MEN,T,91.245, ,"LEGGETT, JCT. RTE. 1",790,7500,6500,700,7600,5400,-123.7135928,39.86816499,-123.7135928,39.86816499
122,122,1,101, ,MEN,R,101.895, ,JCT. RTE. 271 NORTH,700,7600,5400,720,7200,5400,-123.7793246,39.94415966,-123.7792297,39.94424246
123,123,1,101, ,MEN,R,103.818, ,JCT. RTE. 271,720,7200,5400,800,7700,5600,-123.7951821,39.9659792,-123.795044,39.96602952
124,124,1,101, ,MEN,T,106.801, ,MENDOCINO/HUMBOLDT COUNTY,800,7700,5600, , , ,-123.7833184,40.00176669,-123.7833184,40.00176669
125,125,1,101, ,HUM,T,0, ,MENDOCINO/HUMBOLDT COUNTY, , , ,800,7700,5600,-123.7833184,40.00176669,-123.7833184,40.00176669
126,126,1,101, ,HUM,T,0.076, ,TEMPORARY JCT. RTE. 271 SOUTH,800,7700,5600,800,7700,5600,-123.7831899,40.00288201,-123.7831899,40.00288201
127,127,1,101, ,HUM, ,1.61, ,RICHARDSON GROVE,800,7700,5600,800,7700,5600,-123.7933733,40.0215001,-123.7933733,40.0215001
128,128,1,101, ,HUM,R,8.6, ,LAKE BENBOW,800,7700,5600,1100,9300,7200,-123.7859516,40.06515126,-123.7858116,40.06517868
129,129,1,101, ,HUM,R,11.125, ,"GARBERVILLE, SPROWEL CREEK ROAD",1100,9300,7200,800,9300,7300,-123.7968534,40.09867331,-123.7966811,40.09872938
130,130,1,101, ,HUM,R,11.499, ,REDWOOD DRIVE,800,9300,7300,800,9300,7300,-123.7957074,40.10404331,-123.7955855,40.10392765
131,131,1,101, ,HUM,R,14.313, ,DEAN CREEK,800,9300,7300,900,9500,7500,-123.8085593,40.14089655,-123.8085026,40.1407993
132,132,1,101, ,HUM,R,17.907, ,JCT. RTE. 254 NORTHEAST,900,9500,7500,900,9000,6600,-123.776152,40.18191739,-123.7759773,40.18199505
133,133,1,101, ,HUM,R,22.435, ,FRENCH ROAD,900,9000,6600,850,8900,6300,-123.8186202,40.21774333,-123.8185435,40.21780281
134,134,1,101, ,HUM, ,25.01, ,SALMON CREEK ROAD,850,8900,6300,850,9400,6500,-123.8319093,40.25096501,-123.8318093,40.25097089
135,135,1,101, ,HUM, ,27.936, ,JCT. RTE. 254,850,9000,6500,1000,9000,7200,-123.8702609,40.26638221,-123.8701065,40.26644817
136,136,1,101, ,HUM, ,33.246, ,WEOTT,1000,9000,7200,700,8300,6900,-123.9213091,40.32177625,-123.9211992,40.32164495
137,137,1,101, ,HUM, ,35.108, ,JCT. RTE. 254 SOUTH,860,8600,7300,860,8600,7300,-123.9315367,40.34489318,-123.9313979,40.34497389
138,138,1,101, ,HUM, ,35.698, ,SOUTH FORK ROAD,860,8600,7300,1000,10000,7600,-123.928045,40.35297446,-123.9279829,40.35291436
139,139,1,101, ,HUM,R,39.667, ,REDCREST,1000,10000,7600,1100,10000,7900,-123.9477552,40.39746237,-123.947686,40.39751627
140,140,1,101, ,HUM,R,43.318, ,BARKDULL ROAD,1100,10000,7900,1100,10000,8100,-123.988027,40.43490869,-123.9879659,40.43497459
141,141,1,101, ,HUM,R,45.902, ,JCT. RTE. 254 SOUTHWEST,1100,10000,8100,1200,12000,9000,-124.0318693,40.4398502,-124.0318644,40.43995765
142,142,1,101, ,HUM,R,49.175, ,SHIVELY ROAD,1200,12000,9000,1100,12000,9300,-124.0730365,40.45888686,-124.0729742,40.45898427
143,143,1,101, ,HUM,R,50.585, ,SOUTH SCOTIA ROAD,1100,12000,9300,1100,12000,9100,-124.0956008,40.46817557,-124.0954631,40.46824476
144,144,1,101, ,HUM,R,51.84, ,JCT. RTE. 283 NORTHWEST,1100,12000,9100,1300,12700,10300,-124.0984442,40.48830475,-124.0982418,40.48827354
145,145,1,101, ,HUM,R,52.602, ,"RIO DELL, DAVIS STREET",1300,12700,10300,1300,12800,11000,-124.0992108,40.49918522,-124.0989358,40.49920786
146,146,1,101, ,HUM,R,53.379, ,"RIO DELL, SCENIC WAY",1300,12800,11000,1600,17000,15500,-124.1093425,40.50545839,-124.1093023,40.50564044
147,147,1,101, ,HUM, ,57.69, ,JCT. RTE. 36 EAST,1600,17000,14900,2000,22900,19700,-124.1454475,40.54865466,-124.1452295,40.54862378
148,148,1,101, ,HUM, ,58.69, ,DRAKE HILL ROAD,2000,22900,19700,2000,22900,19700,-124.14794,40.56297582,-124.1477152,40.56295727
149,149,1,101, ,HUM, ,59.503, ,"FORTUNA, KENMAR ROAD",2000,22900,19700,2300,24000,21500,-124.1490808,40.57464908,-124.1488944,40.57474391
150,150,1,101, ,HUM, ,60.493, ,12TH STREET,2300,24000,21500,2600,28000,24600,-124.1553723,40.58790416,-124.155307,40.58805924
151,151,1,101, ,HUM, ,61.531, ,FORTUNA OVERHEAD,2600,28000,24600,2600,29000,24700,-124.1676694,40.59899465,-124.1673481,40.59886654
152,152,1,101, ,HUM, ,62.229, ,PALMER BOULEVARD,2600,29000,24700,2500,28500,24400,-124.1780926,40.60482684,-124.1780056,40.60493254
153,153,1,101, ,HUM, ,63.099, ,FINCH CREEK ROAD,2500,28500,24400,2100,23100,20100,-124.19125,40.61221787,-124.191035,40.61225785
154,154,1,101, ,HUM, ,64.29, ,JCT. RTE. 211,2100,23100,20100,2400,26000,23600,-124.2100233,40.62103241,-124.2100391,40.62116281
155,155,1,101, ,HUM, ,65.947, ,LOLETA DRIVE,2400,26000,23600,2200,26000,23600,-124.2094156,40.64186802,-124.2092128,40.64184554
156,156,1,101, ,HUM, ,68.207, ,HOOKTON ROAD,2200,26000,23400,2200,24600,22700,-124.2018597,40.6720232,-124.2016344,40.67201872
157,157,1,101, ,HUM, ,70.611, ,FIELDS LANDING OVERHEAD,2200,24600,22700,2900,27000,25300,-124.2098328,40.70529694,-124.2096142,40.70508216
158,158,1,101, ,HUM, ,72.031, ,ORCHARD STREET,2900,27000,25300,3000,28000,26200,-124.2151256,40.72466236,-124.2148989,40.7247012
159,159,1,101, ,HUM, ,72.876, ,KING SALMON AVENUE,3000,28000,26200,3000,30500,26800,-124.2105405,40.73619183,-124.2104091,40.7359477
160,160,1,101, ,HUM, ,73.719, ,SPRUCE POINT,3000,30500,26800,3500,36500,33100,-124.1997562,40.74516119,-124.1996477,40.74491199
161,161,1,101, ,HUM, ,74.78, ,HERRICK AVENUE,3500,36500,33100,2800,32000,29600,-124.1896183,40.75806943,-124.1894059,40.75806754
162,162,1,101, ,HUM, ,75.91, ,"EUREKA, MC CULLEN AVENUE",2700,30500,28700,2500,31000,27500,-124.1906532,40.77422134,-124.1905072,40.77420605
163,163,1,101, ,HUM, ,76.33, ,"EUREKA, HARRIS STREET",2500,31000,27500,3000,33000,32000,-124.1870498,40.77930396,-124.1869385,40.77921463
164,164,1,101, ,HUM, ,76.65, ,"EUREKA, HENDERSON STREET",3000,33000,32000,2700,30000,28100,-124.1836511,40.78305325,-124.18354,40.78298718
165,165,1,101, ,HUM, ,77.299, ,"EUREKA, WABASH AVENUE",2700,30000,28100,2700,30000,28700,-124.1784048,40.7915292,-124.1782943,40.79149539
166,166,1,101, ,HUM, ,77.85, ,"EUREKA, SEVENTH STREET",2700,30000,28700,2700,30000,27800,-124.1751382,40.79909439,-124.1750357,40.7991296
167,167,1,101, ,HUM, ,77.91, ,"EUREKA, SIXTH STREET",2700,30000,27800,2500,29000,24600,-124.1751268,40.79992495,-124.1750254,40.79998623
168,168,1,101, ,HUM, ,77.967, ,"EUREKA, ON FIFTH STREET AT BROADWAY",2500,29000,24600, , , ,-124.1751163,40.80071334,-124.1747846,40.80069556
169,169,1,101, ,HUM, ,78.026,R,"EUREKA, ON FIFTH ST AT BROADWAY, BEGIN RIGHT ALIGN", , , ,1600,12600,12000,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-124.1747846,40.80069556
