"iid","vid"
"82806_20190312","103162"
"78669_20190207","103157"
"86870_20190122","103120"
"72171_20190122","103105"
"76960_20190226","103156"
"91828_20190225","103120"
"81245_20190307","103103"
"90257_20180817","103161"
"68428_20180927","103157"
"85809_20190206","103154"
"64338_20190107","103124"
"77425_20190605","103116"
"76374_20190108","103124"
"89167_20190219","103153"
"93826_20180206","103119"
"90487_20170418","103132"
"89758_20190226","103155"
"78243_20190201","103142"
"87050_20180911","103151"
"91241_20181114","103105"
"85363_20190225","103119"
"72171_20190122","103114"
"92983_20190211","103124"
"91934_20190107","103142"
"87551_20190123","103160"
"91300_20190211","103154"
"91931_20181114","103103"
"91934_20190107","103124"
"38808_20190805","103114"
"91934_20190107","103139"
"38808_20190805","103142"
"92983_20190211","103114"
"87050_20180911","103129"
"92983_20190211","103119"
"72027_20180430","103131"
"2589_20190805","103142"
"38808_20190805","103119"
"93072_20190103","103150"
"94922_20180815","103153"
"79052_20181105","103132"
"7768_20190802","103116"
"86076_20190711","103154"
"85317_20180810","103156"
"328_20161122","103103"
"87628_20190221","103112"
"7768_20190802","103138"
"91934_20190107","103154"
"91767_20180814","103150"
"3485_20170711","103131"
"74065_20190215","103124"
"99192_20190327","103154"
"91209_20190713","103143"
"87050_20190107","103129"
"73985_20181102","103144"
"94981_20180911","103119"
"85279_20180926","103119"
"94094_20180924","103156"
"72093_20180822","103144"
"38808_20190805","103133"
"94388_20190805","103124"
"92288_20180814","103120"
"76960_20190226","103114"
"4593_20190725","103142"
"38808_20190805","103120"
"7768_20190802","103129"
"65241_20190711","103144"
"15120_20190906","103124"
"2684_20190715","103109"
"59021_20190815","103144"
"75406_20190222","103157"
"68320_20190715","103156"
"90614_20180817","103109"
"87097_20180823","103156"
"3151_20161114","103114"
"73978_20180906","103150"
"82413_20190917","103120"
"94959_20180705","103114"
"34434_20190307","103161"
"93936_20190117","103153"
"328_20161122","103149"
"76817_20190225","103133"
"91035_20180912","103170"
"79052_20181105","103144"
"90514_20180806","103132"
"98972_20190923","103147"
"84971_20171106","103116"
"95439_20190830","103120"
"94408_20180608","103132"
"92225_20190715","103133"
"38808_20190805","103135"
"91300_20190211","103132"
"93946_20180830","103119"
"69527_20180807","103147"
"77098_20180913","103154"
"99298_20190605","103132"
"1304_20180131","103150"
"75113_20190708","103133"
"96529_20180905","103104"
"91300_20190211","103119"
"92676_20190108","103139"
"60400_20190423","103145"
"2922_20190718","103109"
"85166_20161005","103152"
"70562_20190710","103154"
"34046_20190920","103120"
"78243_20190201","103145"
"68320_20190715","103157"
"70547_20190201","103104"
"67985_20190923","103144"
"100870_20190813","103144"
"98376_20190904","103124"
"85095_20180824","103139"
"90487_20170418","103124"
"94082_20190715","103161"
"87780_20180806","103133"
"99269_20190211","103105"
"4746_20190708","103154"
"84971_20161026","103103"
"2995_20170117","103124"
"88954_20180820","103162"
"3229_20180207","103139"
"87015_20181220","103162"
"33945_20190708","103161"
"86359_20190909","103154"
"77065_20190730","103105"
"5409_20190313","103119"
"3256_20190604","103154"
"87281_20190730","103124"
"72024_20190909","103144"
"86282_20190319","103145"
"91289_20181009","103120"
"76725_20180824","103139"
"2721_20180718","103161"
"78220_20190819","103114"
"77169_20190128","103149"
"75685_20190708","103107"
"96580_20190801","103109"
"95440_20190909","103113"
"75523_20190131","103161"
"91300_20190211","103105"
"77850_20181001","103142"
"3951_20190729","103149"
"74508_20190821","103105"
"87736_20190211","103112"
"13041_20190605","103145"
"90950_20181029","103120"
"97261_20181031","103131"
"92154_20190805","103132"
"79052_20181105","103139"
"88082_20181226","103109"
"4864_20190708","103144"
"83567_20190909","103120"
"3165_20190604","103124"
"76477_20181227","103144"
"88139_20190821","103145"
"65051_20190529","103124"
"78619_20190410","103124"
"76373_20180823","103124"
"90643_20190531","103156"
"76436_20190606","103120"
"74358_20190711","103103"
"84558_20170507","103157"
"94442_20181107","103124"
"69181_20190529","103124"
"94984_20180911","103120"
"90504_20190530","103131"
"90237_20190827","103149"
"66361_20190522","103157"
"92044_20180703","103124"
"96573_20180823","103120"
"79248_20180823","103109"
"70960_20190321","103154"
"95021_20180521","103154"
"93835_20190312","103132"
"3491_20190530","103119"
"79412_20180824","103150"
"93835_20190312","103150"
"1203_20190814","103162"
"81528_20180824","103142"
"79565_20190710","103132"
"82655_20180514","103124"
"74131_20190610","103156"
"76511_20190814","103120"
"99590_20190711","103149"
"99298_20190605","103119"
"75526_20181001","103157"
"1791_20180516","103142"
"78075_20181203","103119"
"75604_20190813","103120"
"98973_20190313","103149"
"1712_20190918","103154"
"66522_20181017","103103"
"92383_20181003","103124"
"63169_20190708","103116"
"71534_20190503","103124"
"90256_20190205","103145"
"74305_20180731","103154"
"999_20190909","103161"
"985_20180924","103124"
"76874_20190131","103132"
"86670_20190529","103144"
"36687_20190813","103124"
"98113_20190128","103124"
"68148_20190530","103124"
"77484_20190225","103133"
"2797_20190530","103120"
"93189_20190611","103119"
"74149_20190718","103124"
"84590_20181001","103132"
"84417_20190829","103103"
"97105_20190102","103119"
"93951_20190905","103103"
"82413_20190917","103119"
"1724_20190715","103131"
"79117_20180817","103147"
"82933_20180928","103154"
"63755_20190814","103142"
"90119_20170309","103120"
"64380_20190530","103143"
"87107_20190530","103131"
"1366_20190918","103119"
"83567_20180731","103116"
"86385_20180202","103102"
"93289_20190605","103109"
"92568_20190318","103133"
"68430_20180104","103124"
"91250_20190606","103124"
"90008_20190529","103144"
"2589_20190805","103103"
"88862_20190612","103120"
"96580_20190801","103120"
"98154_20190312","103133"
"79756_20180928","103119"
"90008_20190529","103109"
"78698_20190206","103114"
"96573_20180823","103139"
"2589_20190805","103124"
"62462_20190612","103142"
"96318_20181227","103120"
"97929_20180920","103158"
"1366_20190918","103144"
"442_20190822","103154"
"83567_20180731","103105"
"89104_20190702","103161"
"90212_20190813","103154"
"92927_20180112","103139"
"83423_20190710","103132"
"90239_20190701","103127"
"88577_20161109","103109"
"87780_20180806","103103"
"99341_20190123","103148"
"97219_20181106","103116"
"83841_20190131","103119"
"64338_20190107","103119"
"95114_20190905","103105"
"91300_20190918","103143"
"91157_20180822","103120"
"96024_20180615","103119"
"69850_20180824","103157"
"65860_20180430","103130"
"100017_20190816","103105"
"81460_20190523","103144"
"76874_20161101","103132"
"94442_20181107","103114"
"81317_20190730","103133"
"18577_20180727","103124"
"77162_20181210","103124"
"98278_20190722","103133"
"59574_20190911","103142"
"90239_20190701","103150"
"65241_20190711","103120"
"80081_20190709","103142"
"74237_20190702","103108"
"89758_20190226","103132"
"4864_20190708","103116"
"97358_20190312","103124"
"5521_20180928","103139"
"892_20190613","103129"
"76374_20190108","103142"
"99764_20190531","103133"
"92568_20190318","103142"
"85333_20190610","103143"
"100807_20190701","103162"
"65856_20190828","103116"
"36875_20190604","103150"
"82721_20190222","103154"
"88862_20190612","103149"
"59935_20190904","103142"
"67985_20190923","103154"
"75962_20181001","103142"
"99331_20190729","103116"
"91390_20190711","103144"
"76676_20190415","103147"
"74237_20190702","103120"
"1791_20181207","103161"
"84615_20180808","103145"
"77404_20180123","103153"
"94609_20180321","103102"
"3951_20190729","103138"
"60472_20190531","103154"
"61500_20190702","103144"
"2667_20190918","103144"
"76874_20190131","103150"
"1791_20190612","103129"
"1596_20190710","103154"
"76545_20170412","103154"
"99590_20190711","103103"
"94970_20180911","103154"
"76817_20190225","103105"
"90256_20190205","103119"
"97336_20190128","103149"
"99764_20190531","103132"
"83424_20181217","103129"
"68827_20180808","103124"
"5206_20190703","103154"
"92173_20190415","103139"
"87551_20190617","103107"
"35659_20190610","103103"
"64380_20190530","103124"
"98329_20190712","103172"
"73871_20181025","103118"
"63971_20171117","103142"
"99764_20190531","103119"
"69762_20161026","103119"
"77850_20181001","103109"
"67182_20190710","103105"
"67985_20190923","103124"
"93573_20180807","103109"
"81161_20190731","103120"
"90233_20181004","103119"
"2995_20170117","103114"
"75113_20190708","103150"
"91166_20180928","103170"
"89328_20161206","103131"
"92173_20190415","103141"
"7457_20190904","103127"
"90237_20180410","103154"
"99509_20190603","103132"
"97613_20190603","103129"
"79704_20180813","103144"
"97105_20190102","103149"
"816_20190703","103142"
"93549_20181126","103139"
"101202_20190906","103119"
"86282_20190319","103109"
"91843_20180822","103105"
"69762_20190415","103102"
"76874_20161101","103133"
"65241_20190711","103127"
"93573_20180807","103144"
"82655_20170201","103156"
"90511_20190702","103154"
"82041_20190829","103133"
"76233_20180928","103119"
"93549_20181126","103109"
"91166_20180928","103123"
"60208_20190715","103142"
"98379_20190920","103131"
"328_20161122","103145"
"87337_20190223","103147"
"84558_20180602","103119"
"91807_20190912","103131"
"94832_20190822","103105"
"88554_20190531","103129"
"588_20190605","103142"
"88862_20190612","103138"
"92287_20181001","103124"
"84590_20181001","103133"
"95752_20190226","103132"
"81647_20190805","103172"
"79117_20180817","103157"
"100288_20190702","103144"
"99235_20190802","103119"
"92983_20190211","103153"
"81758_20171103","103124"
"76546_20190611","103103"
"90514_20180806","103154"
"34046_20190920","103138"
"76545_20190415","103144"
"88862_20190612","103112"
"98379_20190920","103120"
"89305_20180808","103103"
"79248_20180823","103120"
"75526_20181001","103149"
"78070_20190617","103119"
"81103_20190313","103139"
"2749_20191002","103116"
"89213_20190207","103119"
"98278_20190722","103120"
"77960_20190123","103119"
"98375_20190712","103105"
"71422_20181016","103133"
"87924_20180824","103142"
"75063_20190814","103114"
"90030_20181017","103119"
"1850_20190905","103124"
"94760_20190412","103144"
"3237_20190820","103142"
"100781_20190425","103124"
"69527_20180807","103129"
"83841_20190131","103109"
"97806_20190724","103129"
"95188_20190930","103149"
"1815_20171107","103120"
"93189_20190611","103161"
"33710_20190731","103154"
"86807_20180928","103131"
"73985_20181102","103129"
"2601_20190731","103119"
"2263_20190402","103144"
"70922_20170302","103116"
"82413_20190917","103142"
"78196_20181001","103154"
"1798_20190708","103133"
"100992_20190822","103124"
"89305_20180808","103112"
"91273_20181220","103149"
"91067_20171206","103154"
"39606_20191002","103129"
"76992_20190613","103116"
"94980_20190412","103120"
"1791_20190612","103124"
"3649_20181213","103133"
"101095_20190906","103119"
"82655_20180514","103132"
"97879_20181227","103124"
"89515_20180803","103133"
"96565_20190312","103109"
"92540_20180309","103103"
"547_20190702","103154"
"2995_20170117","103105"
"76817_20190225","103149"
"65692_20190814","103154"
"84393_20190702","103120"
"95761_20180529","103154"
"89143_20180919","103119"
"72164_20181029","103154"
"86284_20180820","103114"
"66331_20180731","103119"
"94983_20190412","103145"
"100059_20190815","103102"
"85779_20190226","103144"
"76874_20161101","103102"
"1631_20180418","103116"
"60115_20190805","103131"
"91300_20190918","103144"
"99993_20190731","103132"
"92530_20190725","103124"
"2807_20190801","103157"
"64380_20190530","103150"
"90238_20170401","103154"
"2995_20180322","103131"
"19002_20190822","103120"
"92029_20190125","103131"
"84843_20190401","103133"
"90760_20170320","103161"
"91427_20190319","103156"
"79334_20180827","103159"
"77185_20180130","103103"
"919_20190927","103144"
"88711_20190627","103144"
"68454_20190128","103144"
"82111_20190606","103145"
"5258_20190611","103124"
"59986_20190626","103144"
"59520_20190529","103119"
"77162_20181210","103103"
"96779_20190117","103121"
"59727_20190612","103124"
"77484_20190225","103120"
"59520_20190529","103149"
"70071_20190730","103148"
"87924_20171103","103131"
"84615_20180808","103132"
"93607_20190128","103116"
"84103_20181219","103145"
"34611_20190715","103142"
"63755_20190814","103150"
"67495_20191002","103144"
"68148_20190530","103156"
"86645_20190130","103132"
"87780_20190729","103132"
"92049_20190814","103109"
"68827_20180808","103139"
"90150_20181107","103142"
"68454_20190128","103139"
"588_20190605","103135"
"1631_20180418","103161"
"96779_20190117","103133"
"95366_20190605","103147"
"64958_20190828","103124"
"81235_20161019","103113"
"91390_20190711","103149"
"76784_20181204","103133"
"89072_20190220","103114"
"81759_20190220","103154"
"87539_20190313","103120"
"92116_20180829","103120"
"99783_20190429","103144"
"95750_20190125","103149"
"93973_20190605","103131"
"92453_20190723","103142"
"83415_20190731","103119"
"95463_20180419","103145"
"79406_20180910","103139"
"79974_20181001","103131"
"78328_20170720","103144"
"94760_20180911","103131"
"68390_20180313","103133"
"91954_20180816","103156"
"86588_20190627","103150"
"328_20161122","103131"
"72025_20190102","103149"
"58879_20190923","103161"
"101461_20191002","103145"
"86162_20190124","103103"
"88134_20180525","103107"
"328_20180626","103102"
"2622_20171106","103131"
"92151_20180822","103148"
"3374_20190725","103124"
"34046_20190920","103129"
"87677_20190723","103124"
"94578_20190724","103124"
"91390_20170505","103116"
"82602_20191003","103103"
"87924_20181005","103103"
"100475_20190603","103154"
"88554_20190531","103142"
"61643_20190617","103103"
"94665_20190412","103149"
"33113_20190805","103161"
"91620_20190814","103142"
"89086_20180803","103124"
"99014_20190522","103150"
"1932_20190725","103144"
"60472_20190531","103124"
"3800_20190806","103119"
"81956_20190918","103133"
"76513_20190918","103147"
"36014_20190709","103120"
"5760_20190612","103144"
"2085_20170920","103124"
"1672_20171004","103150"
"98904_20190222","103119"
"60115_20190805","103119"
"99341_20190123","103109"
"64338_20190107","103103"
"90772_20190717","103124"
"1366_20190918","103154"
"87613_20170908","103147"
"4746_20190708","103105"
"3951_20190729","103154"
"82793_20190219","103161"
"88942_20190709","103129"
"3868_20190606","103109"
"13218_20180522","103123"
"68390_20190318","103139"
"91157_20190725","103103"
"91448_20190723","103105"
"2995_20170117","103149"
"75429_20181213","103149"
"95235_20180326","103144"
"88082_20181226","103133"
"74305_20180731","103127"
"91208_20180418","103154"
"92568_20190318","103119"
"84109_20180925","103133"
"94094_20180924","103157"
"95130_20180411","103154"
"60472_20190531","103103"
"33865_20170926","103154"
"83316_20180410","103154"
"82655_20170201","103109"
"93362_20190409","103103"
"97549_20181017","103156"
"1977_20170103","103103"
"3286_20190214","103131"
"96632_20190314","103124"
"5833_20181015","103129"
"94013_20190606","103108"
"84321_20190625","103144"
"101673_20190918","103149"
"92383_20181003","103133"
"4072_20170707","103142"
"91876_20190529","103139"
"1939_20190617","103149"
"82339_20170613","103109"
"70365_20190730","103150"
"61494_20191003","103144"
"79782_20190130","103116"
"3229_20180207","103145"
"76374_20190108","103133"
"1921_20190703","103114"
"2995_20180322","103133"
"91984_20180206","103154"
"94232_20190912","103120"
"89276_20170505","103105"
"63000_20190606","103144"
"26340_20170424","103124"
"76874_20161101","103109"
"87107_20190530","103153"
"78668_20190709","103154"
"268_20190813","103149"
"59520_20190529","103138"
"97398_20190724","103154"
"75523_20190131","103120"
"80585_20180824","103154"
"19094_20161004","103120"
"86645_20170828","103109"
"96824_20190117","103120"
"64161_20170623","103124"
"95676_20190606","103145"
"59896_20180509","103154"
"86284_20180820","103124"
"3222_20171117","103119"
"93150_20180518","103119"
"328_20180626","103109"
"90119_20170309","103124"
"3920_20190729","103150"
"4864_20190708","103109"
"93453_20180613","103143"
"92441_20180926","103103"
"91619_20190410","103156"
"92568_20190318","103114"
"89336_20170705","103139"
"83362_20190607","103154"
"84813_20190612","103144"
"99298_20190605","103124"
"3838_20180620","103145"
"92288_20170803","103149"
"92530_20171120","103119"
"7643_20190613","103161"
"93973_20190605","103103"
"94408_20180608","103133"
"63757_20190606","103120"
"90772_20181113","103125"
"39608_20190314","103103"
"83423_20190710","103109"
"78102_20190408","103144"
"96913_20190715","103143"
"80051_20181227","103157"
"94769_20190520","103145"
"99511_20190702","103127"
"100058_20190816","103149"
"89216_20180827","103121"
"99889_20190816","103124"
"4057_20171107","103144"
"62889_20190710","103119"
"5521_20180928","103119"
"93607_20190128","103144"
"77546_20180816","103116"
"76817_20190225","103116"
"80109_20190813","103144"
"85925_20161031","103116"
"79117_20180817","103119"
"87924_20171103","103139"
"90238_20170131","103152"
"75575_20190827","103124"
"100288_20190702","103105"
"116_20190912","103105"
"69299_20190703","103133"
"94832_20190822","103139"
"90256_20190205","103157"
"92283_20190531","103120"
"78220_20190819","103130"
"3736_20190906","103144"
"96285_20191002","103120"
"60472_20190531","103150"
"78727_20171115","103120"
"61136_20190927","103144"
"98118_20190724","103120"
"2797_20170615","103131"
"94229_20181105","103161"
"87552_20171108","103161"
"86829_20180831","103154"
"91954_20180816","103102"
"15279_20190531","103131"
"88862_20190612","103144"
"86168_20190724","103144"
"2858_20170222","103144"
"81759_20190220","103161"
"76156_20181003","103124"
"91133_20170503","103143"
"3591_20180809","103133"
"66331_20191003","103142"
"82466_20190404","103131"
"85714_20190402","103139"
"99731_20190816","103120"
"69244_20190701","103154"
"84911_20181003","103124"
"2263_20190402","103109"
"89686_20190731","103133"
"86076_20190711","103132"
"86742_20190816","103149"
"76233_20180928","103154"
"100030_20190826","103149"
"85947_20171218","103120"
"76436_20190606","103144"
"84615_20180808","103133"
"96669_20190128","103120"
"1791_20180516","103154"
"99012_20190724","103161"
"90030_20181017","103145"
"99764_20190531","103102"
"100058_20190816","103102"
"97282_20180921","103148"
"92154_20190805","103156"
"86076_20190711","103139"
"94502_20190312","103161"
"75613_20190412","103124"
"93072_20190103","103130"
"58628_20190611","103145"
"82909_20181001","103103"
"75962_20181001","103161"
"3485_20170711","103145"
"71008_20190820","103114"
"77427_20170706","103161"
"89559_20190725","103156"
"984_20170726","103105"
"87924_20180824","103149"
"86284_20171024","103124"
"91823_20190923","103124"
"2664_20190613","103120"
"78275_20190530","103120"
"82142_20190912","103120"
"2085_20170920","103157"
"91390_20190711","103120"
"63601_20190607","103161"
"88382_20180808","103144"
"78347_20190731","103129"
"89305_20180808","103144"
"3072_20190701","103116"
"83636_20190211","103149"
"94544_20190124","103124"
"77162_20190919","103114"
"2538_20181005","103138"
"80242_20190129","103119"
"22606_20190806","103116"
"77185_20180130","103161"
"315_20190723","103116"
"95845_20190716","103133"
"1615_20190725","103149"
"86170_20180615","103120"
"96591_20180723","103109"
"69705_20190212","103149"
"1631_20170726","103120"
"78275_20190530","103154"
"78722_20190814","103144"
"5827_20190903","103120"
"82113_20190806","103133"
"82413_20190917","103114"
"3862_20190311","103125"
"62896_20171018","103105"
"91241_20181114","103119"
"89404_20161118","103104"
"83423_20190102","103109"
"4982_20190819","103151"
"10433_20190730","103144"
"92141_20180927","103124"
"73871_20190417","103154"
"88799_20190702","103120"
"33113_20190805","103144"
"100331_20190813","103144"
"33527_20190801","103145"
"91390_20190117","103154"
"78722_20190122","103131"
"2733_20180615","103119"
"76513_20190724","103138"
"2109_20190606","103152"
"100642_20190918","103156"
"93977_20181002","103127"
"77850_20181001","103162"
"84615_20180808","103154"
"7643_20190613","103124"
"69195_20170621","103154"
"78698_20170110","103124"
"328_20190709","103124"
"88899_20190319","103157"
"94318_20190522","103145"
"32698_20180913","103139"
"21143_20190719","103119"
"95681_20191001","103147"
"91205_20190722","103144"
"94929_20190222","103149"
"1741_20190115","103114"
"88539_20190906","103120"
"3649_20190701","103149"
"60115_20190805","103133"
"1615_20190725","103124"
"66400_20190926","103124"
"96669_20190128","103124"
"70090_20190807","103124"
"95440_20190909","103114"
"68352_20190617","103131"
"99014_20190522","103119"
"67510_20190829","103150"
"96779_20190926","103103"
"81461_20190626","103124"
"91852_20190912","103103"
"93573_20190226","103119"
"4837_20181218","103154"
"88712_20190829","103144"
"69527_20180807","103149"
"164_20170908","103124"
"77492_20181030","103149"
"90837_20190905","103149"
"96137_20190822","103120"
"94946_20190412","103118"
"92283_20190531","103114"
"7491_20190807","103156"
"82041_20190211","103124"
"93619_20190918","103161"
"91457_20190211","103124"
"72025_20190102","103131"
"2085_20181023","103156"
"36876_20170912","103124"
"78306_20190411","103102"
"89114_20190605","103145"
"92786_20190627","103127"
"24534_20190718","103131"
"77973_20190308","103149"
"83423_20190710","103147"
"93150_20180518","103103"
"65925_20190709","103150"
"69762_20161026","103157"
"87551_20190617","103105"
"71422_20181016","103134"
"78102_20190408","103124"
"90448_20170309","103144"
"76725_20180824","103119"
"5213_20180709","103154"
"83841_20191002","103157"
"1973_20171017","103142"
"91876_20190529","103154"
"60548_20190712","103157"
"90511_20190702","103157"
"67565_20190703","103124"
"84698_20180801","103114"
"91208_20180418","103124"
"89276_20190724","103142"
"91300_20190211","103109"
"1442_20190606","103120"
"68813_20190730","103109"
"90487_20170418","103154"
"65382_20170927","103131"
"100642_20190918","103120"
"69466_20190521","103131"
"79599_20190307","103136"
"97200_20190123","103133"
"85680_20190131","103120"
"88139_20190821","103133"
"91954_20180816","103109"
"68773_20180214","103139"
"67186_20190605","103118"
"1231_20190917","103103"
"33386_20190719","103156"
"1791_20190612","103161"
"78215_20190304","103105"
"72073_20180907","103156"
"89590_20181214","103149"
"91473_20170720","103154"
"3286_20190214","103147"
"77404_20180123","103124"
"81245_20190307","103131"
"92453_20170912","103102"
"10433_20190730","103154"
"88382_20180808","103149"
"82041_20190211","103120"
"85971_20190710","103149"
"85578_20181018","103147"
"92592_20190805","103142"
"94094_20190207","103129"
"100331_20190813","103124"
"21143_20190719","103133"
"65487_20190731","103139"
"65679_20180517","103124"
"69152_20190307","103131"
"58718_20180710","103154"
"85925_20180925","103139"
"98972_20190923","103144"
"80242_20190129","103129"
"13218_20180522","103161"
"76436_20181003","103124"
"84590_20181001","103109"
"3926_20190703","103133"
"86362_20180126","103119"
"71696_20190702","103145"
"70014_20190709","103172"
"82690_20171020","103103"
"85925_20180925","103154"
"94408_20190604","103131"
"77403_20180828","103109"
"1262_20191002","103120"
"33700_20190702","103139"
"2797_20190530","103133"
"88799_20170918","103154"
"74131_20190610","103154"
"78472_20190605","103116"
"4544_20190605","103120"
"816_20190703","103120"
"90504_20190530","103105"
"4544_20190605","103157"
"91874_20190227","103114"
"85433_20190715","103103"
"94012_20190723","103133"
"88711_20190627","103124"
"93573_20180807","103114"
"79528_20190307","103116"
"90067_20190314","103133"
"5000_20190723","103149"
"89305_20180808","103154"
"79565_20190710","103120"
"93484_20190215","103105"
"63121_20190605","103124"
"89773_20170719","103124"
"68894_20190529","103144"
"95752_20190226","103158"
"479_20190604","103124"
"99272_20190729","103109"
"88554_20170213","103120"
"2589_20170309","103145"
"82134_20180918","103149"
"92540_20180309","103153"
"86486_20190415","103139"
"2085_20170920","103151"
"3838_20180620","103133"
"70797_20190717","103110"
"33527_20180116","103129"
"90614_20180817","103144"
"87628_20190221","103102"
"91245_20170607","103149"
"81887_20171102","103139"
"99537_20190531","103149"
"90772_20181113","103124"
"1850_20190905","103119"
"76874_20161101","103139"
"93619_20190918","103119"
"98177_20190718","103133"
"88577_20161109","103103"
"101673_20190918","103161"
"34505_20171116","103119"
"79970_20190612","103150"
"1994_20190617","103124"
"92383_20181003","103119"
"92068_20180808","103156"
"69762_20171023","103144"
"101375_20190619","103119"
"74039_20190605","103152"
"95361_20180518","103145"
"91133_20190222","103150"
"98379_20190920","103149"
"65350_20190607","103157"
"91934_20190701","103161"
"3374_20190725","103105"
"82339_20170613","103114"
"89559_20170606","103149"
"3715_20191002","103142"
"21909_20161214","103145"
"99136_20190930","103124"
"87924_20180824","103150"
"84910_20190123","103103"
"59727_20190612","103131"
"73963_20190612","103142"
"85809_20171110","103144"
"87927_20181109","103156"
"88954_20180820","103109"
"87909_20171101","103137"
"84590_20181001","103142"
"94412_20180731","103142"
"95858_20190318","103145"
"88799_20190702","103133"
"77484_20190225","103102"
"95100_20190412","103148"
"76436_20181003","103142"
"89072_20180917","103144"
"74168_20190626","103120"
"92029_20190725","103124"
"65856_20190828","103144"
"86224_20181015","103103"
"86371_20190828","103107"
"79821_20190828","103109"
"3834_20180618","103103"
"61923_20190718","103154"
"94612_20181004","103119"
"86670_20190814","103103"
"92453_20180831","103133"
"97844_20191002","103119"
"100802_20190827","103153"
"94040_20180130","103116"
"83436_20190715","103132"
"83642_20170908","103142"
"64161_20170623","103131"
"80619_20171005","103121"
"2922_20190718","103119"
"91873_20170629","103120"
"88087_20190610","103144"
"9156_20190910","103154"
"91954_20180816","103119"
"87780_20180806","103153"
"70365_20190730","103151"
"94649_20190412","103149"
"63619_20170131","103120"
"100202_20190730","103154"
"92592_20171221","103119"
"2926_20190709","103157"
"95858_20190318","103124"
"70939_20190410","103144"
"79729_20190703","103119"
"79729_20190703","103151"
"61512_20180618","103119"
"94649_20190412","103119"
"62779_20190827","103159"
"94355_20180829","103116"
"82664_20190311","103139"
"82324_20190604","103105"
"78328_20190603","103154"
"25153_20190610","103109"
"101184_20190730","103120"
"1609_20190801","103144"
"88883_20190703","103109"
"86555_20161107","103109"
"86816_20190125","103139"
"71696_20190702","103161"
"69762_20171023","103119"
"95366_20190605","103141"
"2555_20190131","103131"
"64814_20180703","103139"
"28206_20190606","103154"
"96779_20190926","103157"
"91448_20190723","103131"
"70184_20170821","103102"
"69244_20190701","103144"
"89449_20170623","103154"
"27790_20190807","103131"
"90212_20190813","103133"
"76373_20170814","103116"
"60472_20190531","103132"
"90341_20170517","103116"
"1508_20170814","103103"
"86670_20190529","103103"
"77427_20180430","103142"
"86742_20190816","103156"
"95040_20190412","103144"
"88711_20190627","103132"
"3491_20190530","103149"
"89640_20180926","103119"
"67985_20190923","103120"
"76374_20190108","103103"
"91480_20171002","103116"
"90514_20180806","103131"
"77913_20181024","103154"
