"iid","date","score","type"
"1002_20161017","10/17/2016 12:00:00 AM","-1","Reinspection/Followup"
"1002_20170928","09/28/2017 12:00:00 AM","85","Routine - Unscheduled"
"1002_20171006","10/06/2017 12:00:00 AM","-1","Reinspection/Followup"
"1002_20180509","05/09/2018 12:00:00 AM","90","Routine - Unscheduled"
"1002_20190507","05/07/2019 12:00:00 AM","92","Routine - Unscheduled"
"10030_20170928","09/28/2017 12:00:00 AM","93","Routine - Unscheduled"
"10030_20180226","02/26/2018 12:00:00 AM","100","Routine - Unscheduled"
"10030_20181016","10/16/2018 12:00:00 AM","100","Routine - Unscheduled"
"10030_20190220","02/20/2019 12:00:00 AM","96","Routine - Unscheduled"
"10030_20190912","09/12/2019 12:00:00 AM","98","Routine - Unscheduled"
"100328_20190515","05/15/2019 12:00:00 AM","-1","New Ownership"
"100328_20190711","07/11/2019 12:00:00 AM","-1","New Ownership - Followup"
"100330_20190404","04/04/2019 12:00:00 AM","-1","New Ownership"
"100330_20190508","05/08/2019 12:00:00 AM","-1","New Ownership - Followup"
"100330_20190516","05/16/2019 12:00:00 AM","-1","New Ownership - Followup"
"100330_20190807","08/07/2019 12:00:00 AM","86","Routine - Unscheduled"
"100330_20190814","08/14/2019 12:00:00 AM","-1","Reinspection/Followup"
"100331_20190705","07/05/2019 12:00:00 AM","-1","New Ownership"
"100331_20190813","08/13/2019 12:00:00 AM","88","Routine - Unscheduled"
"100333_20190514","05/14/2019 12:00:00 AM","-1","New Ownership"
"100333_20190621","06/21/2019 12:00:00 AM","-1","New Ownership - Followup"
"100333_20190710","07/10/2019 12:00:00 AM","-1","New Ownership - Followup"
"100334_20190507","05/07/2019 12:00:00 AM","-1","New Ownership"
"100334_20190523","05/23/2019 12:00:00 AM","-1","New Ownership - Followup"
"100362_20190503","05/03/2019 12:00:00 AM","-1","New Ownership"
"100362_20190507","05/07/2019 12:00:00 AM","-1","New Ownership - Followup"
"100362_20190523","05/23/2019 12:00:00 AM","-1","Reinspection/Followup"
"100362_20190529","05/29/2019 12:00:00 AM","-1","New Ownership - Followup"
"100362_20190606","06/06/2019 12:00:00 AM","96","Routine - Unscheduled"
"100362_20190910","09/10/2019 12:00:00 AM","-1","Non-inspection site visit"
"100367_20190815","08/15/2019 12:00:00 AM","-1","New Ownership"
"100373_20190520","05/20/2019 12:00:00 AM","-1","New Ownership"
"100374_20190805","08/05/2019 12:00:00 AM","-1","New Ownership"
"100378_20190508","05/08/2019 12:00:00 AM","-1","New Ownership - Followup"
"100378_20190513","05/13/2019 12:00:00 AM","-1","New Ownership"
"100378_20190807","08/07/2019 12:00:00 AM","98","Routine - Unscheduled"
"1003_20170823","08/23/2017 12:00:00 AM","86","Routine - Unscheduled"
"1003_20170901","09/01/2017 12:00:00 AM","-1","Reinspection/Followup"
"1003_20180314","03/14/2018 12:00:00 AM","92","Routine - Unscheduled"
"1003_20190313","03/13/2019 12:00:00 AM","92","Routine - Unscheduled"
"100403_20190620","06/20/2019 12:00:00 AM","-1","New Ownership"
"100403_20190923","09/23/2019 12:00:00 AM","-1","Foodborne Illness Investigation"
"100403_20190930","09/30/2019 12:00:00 AM","-1","Reinspection/Followup"
"100404_20190703","07/03/2019 12:00:00 AM","-1","New Ownership"
"100404_20190826","08/26/2019 12:00:00 AM","100","Routine - Unscheduled"
"100405_20190531","05/31/2019 12:00:00 AM","-1","New Ownership"
"100406_20190603","06/03/2019 12:00:00 AM","-1","New Ownership"
"100406_20190816","08/16/2019 12:00:00 AM","92","Routine - Unscheduled"
"100416_20190611","06/11/2019 12:00:00 AM","87","Routine - Unscheduled"
"100416_20190708","07/08/2019 12:00:00 AM","-1","Reinspection/Followup"
"100417_20190603","06/03/2019 12:00:00 AM","-1","New Ownership"
"100418_20190528","05/28/2019 12:00:00 AM","-1","New Ownership"
"100418_20190816","08/16/2019 12:00:00 AM","80","Routine - Unscheduled"
"100418_20190826","08/26/2019 12:00:00 AM","-1","Reinspection/Followup"
"100440_20190522","05/22/2019 12:00:00 AM","87","Routine - Unscheduled"
"100440_20190529","05/29/2019 12:00:00 AM","-1","Reinspection/Followup"
"100441_20190603","06/03/2019 12:00:00 AM","-1","New Ownership"
"100441_20190816","08/16/2019 12:00:00 AM","-1","Non-inspection site visit"
"100457_20190529","05/29/2019 12:00:00 AM","-1","New Ownership"
"100459_20190528","05/28/2019 12:00:00 AM","-1","New Ownership"
"100459_20190816","08/16/2019 12:00:00 AM","89","Routine - Unscheduled"
"100460_20190624","06/24/2019 12:00:00 AM","-1","New Ownership - Followup"
"100460_20190712","07/12/2019 12:00:00 AM","-1","Reinspection/Followup"
"100460_20190917","09/17/2019 12:00:00 AM","-1","New Ownership - Followup"
"100461_20190716","07/16/2019 12:00:00 AM","-1","New Ownership"
"100475_20190603","06/03/2019 12:00:00 AM","96","Routine - Unscheduled"
"100475_20190826","08/26/2019 12:00:00 AM","-1","New Ownership"
"100476_20190509","05/09/2019 12:00:00 AM","-1","New Ownership"
"100477_20190509","05/09/2019 12:00:00 AM","-1","New Ownership"
"100477_20190807","08/07/2019 12:00:00 AM","96","Routine - Unscheduled"
"100479_20190520","05/20/2019 12:00:00 AM","-1","New Ownership"
"100479_20190531","05/31/2019 12:00:00 AM","-1","New Ownership - Followup"
"100479_20190605","06/05/2019 12:00:00 AM","96","Routine - Unscheduled"
"100480_20190507","05/07/2019 12:00:00 AM","-1","New Ownership"
"100480_20190605","06/05/2019 12:00:00 AM","-1","New Ownership - Followup"
"100480_20190814","08/14/2019 12:00:00 AM","91","Routine - Unscheduled"
"100503_20190605","06/05/2019 12:00:00 AM","-1","New Ownership"
"100504_20190411","04/11/2019 12:00:00 AM","88","Routine - Unscheduled"
"100504_20190619","06/19/2019 12:00:00 AM","-1","New Ownership"
"100504_20190927","09/27/2019 12:00:00 AM","-1","Reinspection/Followup"
"100507_20190724","07/24/2019 12:00:00 AM","-1","New Ownership"
"100544_20190731","07/31/2019 12:00:00 AM","-1","New Ownership"
"100545_20190903","09/03/2019 12:00:00 AM","-1","New Ownership - Followup"
"100560_20190723","07/23/2019 12:00:00 AM","-1","New Construction"
"100560_20190903","09/03/2019 12:00:00 AM","88","Routine - Unscheduled"
"100561_20190626","06/26/2019 12:00:00 AM","-1","New Ownership"
"100561_20190816","08/16/2019 12:00:00 AM","96","Routine - Unscheduled"
"100579_20190516","05/16/2019 12:00:00 AM","-1","New Ownership"
"100579_20190521","05/21/2019 12:00:00 AM","-1","New Ownership - Followup"
"100579_20190719","07/19/2019 12:00:00 AM","85","Routine - Unscheduled"
"100579_20190731","07/31/2019 12:00:00 AM","-1","Reinspection/Followup"
"1005_20170713","07/13/2017 12:00:00 AM","78","Routine - Unscheduled"
"1005_20170731","07/31/2017 12:00:00 AM","-1","Reinspection/Followup"
"1005_20180122","01/22/2018 12:00:00 AM","84","Routine - Unscheduled"
"1005_20180205","02/05/2018 12:00:00 AM","-1","Reinspection/Followup"
"1005_20180919","09/19/2018 12:00:00 AM","86","Routine - Unscheduled"
"1005_20190808","08/08/2019 12:00:00 AM","88","Routine - Unscheduled"
"100603_20190509","05/09/2019 12:00:00 AM","-1","New Ownership"
"100603_20190620","06/20/2019 12:00:00 AM","-1","New Ownership"
"100603_20190829","08/29/2019 12:00:00 AM","96","Routine - Unscheduled"
"100639_20190123","01/23/2019 12:00:00 AM","-1","New Ownership"
"100639_20190729","07/29/2019 12:00:00 AM","-1","New Ownership - Followup"
"100639_20190813","08/13/2019 12:00:00 AM","100","Routine - Unscheduled"
"100640_20190530","05/30/2019 12:00:00 AM","-1","New Ownership"
"100640_20190604","06/04/2019 12:00:00 AM","-1","New Ownership - Followup"
"100642_20190918","09/18/2019 12:00:00 AM","90","Routine - Unscheduled"
"100658_20190605","06/05/2019 12:00:00 AM","-1","New Ownership"
"100658_20190723","07/23/2019 12:00:00 AM","-1","New Ownership - Followup"
"100658_20190730","07/30/2019 12:00:00 AM","-1","New Ownership - Followup"
"100659_20190626","06/26/2019 12:00:00 AM","-1","New Ownership"
"100660_20190703","07/03/2019 12:00:00 AM","-1","New Construction"
"100660_20190816","08/16/2019 12:00:00 AM","98","Routine - Unscheduled"
"100676_20190722","07/22/2019 12:00:00 AM","-1","New Ownership"
"100677_20190604","06/04/2019 12:00:00 AM","-1","New Ownership"
"100677_20190624","06/24/2019 12:00:00 AM","-1","Non-inspection site visit"
"100677_20190627","06/27/2019 12:00:00 AM","-1","New Ownership - Followup"
"100707_20190520","05/20/2019 12:00:00 AM","-1","New Ownership"
"100707_20190611","06/11/2019 12:00:00 AM","100","Routine - Unscheduled"
"100712_20190626","06/26/2019 12:00:00 AM","-1","New Ownership"
"100713_20190501","05/01/2019 12:00:00 AM","-1","New Ownership"
"100713_20190522","05/22/2019 12:00:00 AM","-1","New Ownership - Followup"
"100713_20190628","06/28/2019 12:00:00 AM","-1","New Ownership - Followup"
"100713_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"100715_20190604","06/04/2019 12:00:00 AM","-1","New Ownership"
"100715_20190722","07/22/2019 12:00:00 AM","-1","New Ownership - Followup"
"100715_20190805","08/05/2019 12:00:00 AM","96","Routine - Unscheduled"
"100716_20190515","05/15/2019 12:00:00 AM","-1","New Construction"
"100716_20190528","05/28/2019 12:00:00 AM","-1","New Construction"
"100716_20190627","06/27/2019 12:00:00 AM","-1","New Ownership - Followup"
"100716_20190806","08/06/2019 12:00:00 AM","98","Routine - Unscheduled"
"100750_20190813","08/13/2019 12:00:00 AM","-1","New Ownership"
"100750_20190814","08/14/2019 12:00:00 AM","-1","Non-inspection site visit"
"100752_20190606","06/06/2019 12:00:00 AM","-1","New Ownership"
"100752_20190717","07/17/2019 12:00:00 AM","-1","New Ownership - Followup"
"100752_20190904","09/04/2019 12:00:00 AM","71","Routine - Unscheduled"
"100752_20190927","09/27/2019 12:00:00 AM","-1","Reinspection/Followup"
"100753_20190612","06/12/2019 12:00:00 AM","-1","New Ownership"
"100753_20190820","08/20/2019 12:00:00 AM","-1","New Ownership - Followup"
"100779_20190515","05/15/2019 12:00:00 AM","-1","New Construction"
"100779_20190607","06/07/2019 12:00:00 AM","-1","New Construction"
"100779_20190610","06/10/2019 12:00:00 AM","-1","New Ownership"
"100780_20190624","06/24/2019 12:00:00 AM","-1","New Ownership"
"100781_20190425","04/25/2019 12:00:00 AM","92","Routine - Unscheduled"
"100781_20190611","06/11/2019 12:00:00 AM","-1","New Ownership"
"100781_20190716","07/16/2019 12:00:00 AM","-1","New Ownership - Followup"
"100800_20190626","06/26/2019 12:00:00 AM","-1","New Ownership"
"100800_20190827","08/27/2019 12:00:00 AM","100","Routine - Unscheduled"
"100801_20190827","08/27/2019 12:00:00 AM","100","Routine - Unscheduled"
"100802_20190626","06/26/2019 12:00:00 AM","-1","New Ownership"
"100802_20190827","08/27/2019 12:00:00 AM","98","Routine - Unscheduled"
"100807_20190603","06/03/2019 12:00:00 AM","-1","New Construction"
"100807_20190701","07/01/2019 12:00:00 AM","98","Routine - Unscheduled"
"100815_20190708","07/08/2019 12:00:00 AM","-1","New Ownership"
"100815_20190722","07/22/2019 12:00:00 AM","-1","New Ownership - Followup"
"100816_20190612","06/12/2019 12:00:00 AM","-1","New Ownership"
"100817_20190724","07/24/2019 12:00:00 AM","-1","New Ownership"
"100817_20190806","08/06/2019 12:00:00 AM","100","Routine - Unscheduled"
"100818_20190625","06/25/2019 12:00:00 AM","-1","New Ownership"
"100821_20190716","07/16/2019 12:00:00 AM","-1","New Construction"
"100821_20190819","08/19/2019 12:00:00 AM","-1","New Ownership"
"10083_20170905","09/05/2017 12:00:00 AM","81","Routine - Unscheduled"
"10083_20170912","09/12/2017 12:00:00 AM","-1","Reinspection/Followup"
"10083_20190426","04/26/2019 12:00:00 AM","86","Routine - Unscheduled"
"10083_20190503","05/03/2019 12:00:00 AM","-1","Reinspection/Followup"
"100866_20190703","07/03/2019 12:00:00 AM","-1","Complaint"
"100870_20190705","07/05/2019 12:00:00 AM","-1","New Ownership"
"100870_20190712","07/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"100870_20190813","08/13/2019 12:00:00 AM","75","Routine - Unscheduled"
"100879_20190611","06/11/2019 12:00:00 AM","-1","New Ownership"
"100879_20190624","06/24/2019 12:00:00 AM","-1","New Ownership - Followup"
"100887_20190701","07/01/2019 12:00:00 AM","-1","New Ownership"
"100887_20190814","08/14/2019 12:00:00 AM","-1","New Ownership - Followup"
"100888_20190730","07/30/2019 12:00:00 AM","-1","New Ownership"
"1008_20170905","09/05/2017 12:00:00 AM","88","Routine - Unscheduled"
"1008_20180409","04/09/2018 12:00:00 AM","85","Routine - Unscheduled"
"1008_20180425","04/25/2018 12:00:00 AM","-1","Reinspection/Followup"
"1008_20190403","04/03/2019 12:00:00 AM","66","Routine - Unscheduled"
"1008_20190405","04/05/2019 12:00:00 AM","-1","Reinspection/Followup"
"1008_20190408","04/08/2019 12:00:00 AM","-1","Reinspection/Followup"
"1008_20190409","04/09/2019 12:00:00 AM","-1","Reinspection/Followup"
"1008_20190503","05/03/2019 12:00:00 AM","-1","Reinspection/Followup"
"100918_20190607","06/07/2019 12:00:00 AM","-1","New Ownership"
"100923_20190906","09/06/2019 12:00:00 AM","-1","Routine - Scheduled"
"100937_20190614","06/14/2019 12:00:00 AM","-1","New Ownership"
"100937_20190801","08/01/2019 12:00:00 AM","-1","Non-inspection site visit"
"100941_20190807","08/07/2019 12:00:00 AM","-1","New Construction"
"100941_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"100941_20190819","08/19/2019 12:00:00 AM","-1","Reinspection/Followup"
"100941_20190906","09/06/2019 12:00:00 AM","-1","Routine - Scheduled"
"100992_20190517","05/17/2019 12:00:00 AM","-1","Non-inspection site visit"
"100992_20190621","06/21/2019 12:00:00 AM","-1","New Ownership"
"100992_20190703","07/03/2019 12:00:00 AM","-1","New Ownership - Followup"
"100992_20190822","08/22/2019 12:00:00 AM","88","Routine - Unscheduled"
"100992_20190906","09/06/2019 12:00:00 AM","-1","Reinspection/Followup"
"100993_20190723","07/23/2019 12:00:00 AM","-1","New Ownership"
"100993_20190820","08/20/2019 12:00:00 AM","-1","New Construction"
"100993_20190823","08/23/2019 12:00:00 AM","-1","New Construction"
"101028_20190607","06/07/2019 12:00:00 AM","100","Routine - Unscheduled"
"101028_20190807","08/07/2019 12:00:00 AM","-1","Non-inspection site visit"
"101065_20190906","09/06/2019 12:00:00 AM","-1","Routine - Scheduled"
"101075_20190906","09/06/2019 12:00:00 AM","-1","Routine - Scheduled"
"101076_20190906","09/06/2019 12:00:00 AM","-1","Routine - Scheduled"
"101077_20190906","09/06/2019 12:00:00 AM","-1","Routine - Scheduled"
"101078_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101078_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101078_20190906","09/06/2019 12:00:00 AM","-1","Routine - Scheduled"
"101079_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101079_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101079_20190819","08/19/2019 12:00:00 AM","-1","New Ownership - Followup"
"101079_20190906","09/06/2019 12:00:00 AM","-1","Routine - Scheduled"
"101080_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101080_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101080_20190906","09/06/2019 12:00:00 AM","-1","Routine - Scheduled"
"101081_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101081_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101082_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101082_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101082_20190819","08/19/2019 12:00:00 AM","-1","New Ownership - Followup"
"101083_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101083_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101083_20190819","08/19/2019 12:00:00 AM","-1","New Ownership - Followup"
"101084_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101084_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101084_20190819","08/19/2019 12:00:00 AM","-1","New Ownership - Followup"
"101085_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101085_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101086_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101086_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101087_20190807","08/07/2019 12:00:00 AM","-1","New Construction"
"101087_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101087_20190819","08/19/2019 12:00:00 AM","-1","Reinspection/Followup"
"101089_20190807","08/07/2019 12:00:00 AM","-1","New Construction"
"101089_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101089_20190819","08/19/2019 12:00:00 AM","-1","Reinspection/Followup"
"101089_20190906","09/06/2019 12:00:00 AM","100","Routine - Unscheduled"
"101090_20190807","08/07/2019 12:00:00 AM","-1","New Ownership"
"101090_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101090_20190906","09/06/2019 12:00:00 AM","92","Routine - Unscheduled"
"101095_20190807","08/07/2019 12:00:00 AM","-1","New Construction"
"101095_20190812","08/12/2019 12:00:00 AM","-1","New Ownership - Followup"
"101095_20190819","08/19/2019 12:00:00 AM","-1","Reinspection/Followup"
"101095_20190906","09/06/2019 12:00:00 AM","89","Routine - Unscheduled"
